date	State Line Gauge	Roscoe	Overton	Kearney	Grand Island	Dunning	Saint Paul	North Bend	Louisville
1/1/11	170	76	1970	2130	2170	490	961	4100	6250
1/2/11	235	79	1430	1620	1740	470	1030	3950	6330
1/3/11	275	84	857	1300	1510	486	1080	3490	6460
1/4/11	280	95	1620	1090	1410	503	1090	3100	6160
1/5/11	270	157	1680	1380	1470	509	1160	2880	5950
1/6/11	270	257	1800	1580	1630	536	1300	2530	5870
1/7/11	260	321	1850	1740	1810	490	1290	3140	5780
1/8/11	251	380	1790	1680	1800	477	1120	3580	6040
1/9/11	245	405	1760	1510	1580	456	1120	4240	7630
1/10/11	242	410	1340	1250	1250	437	1070	4950	10000
1/11/11	225	361	1160	785	718	424	967	4540	13700
1/12/11	225	351	1140	847	621	419	934	4850	11100
1/13/11	235	380	1430	988	847	445	1130	5220	9640
1/14/11	241	445	1500	1190	1210	477	1240	4950	11200
1/15/11	243	505	1620	1390	1490	496	1170	4730	9430
1/16/11	246	563	1740	1670	1830	502	1160	5100	8530
1/17/11	253	633	1970	2130	2220	522	1360	4770	8270
1/18/11	255	725	2430	2330	2320	518	1150	4730	7960
1/19/11	256	786	2400	2270	2110	458	1070	4970	7460
1/20/11	258	808	2440	2130	1970	451	1060	5390	7480
1/21/11	267	821	1900	2180	2100	480	1230	6100	7880
1/22/11	278	740	2090	2370	2380	518	1220	6470	8170
1/23/11	281	624	2670	2660	2320	544	1080	6330	8370
1/24/11	279	573	2590	2840	2680	570	1290	6010	8470
1/25/11	278	527	2430	2840	3000	583	1240	5920	8490
1/26/11	276	522	2390	2940	3130	599	1270	6140	8360
1/27/11	278	502	2480	3010	3260	556	1390	5990	8830
1/28/11	281	463	2580	3050	3350	585	1400	6210	9140
1/29/11	284	387	2650	3100	3350	577	1290	6380	9240
1/30/11	286	338	2590	3040	3120	550	1150	6690	9640
1/31/11	286	316	2380	2690	2710	555	1070	6950	9540
2/1/11	169	294	1360	1530	1620	513	976	6380	8930
2/2/11	210	290	1460	1310	1220	524	1010	5990	8830
2/3/11	280	305	1560	1370	1370	546	1130	6020	8030
2/4/11	310	343	1540	1730	1810	572	1300	5370	8830
2/5/11	325	379	1840	2010	2140	591	1380	4760	8130
2/6/11	315	458	1010	1660	1930	598	1330	4320	7530
2/7/11	280	466	1340	1410	1580	566	1160	4100	7130
2/8/11	235	412	1610	1300	1240	521	994	4370	6820
2/9/11	245	422	1540	1420	1290	527	1110	4680	7130
2/10/11	315	467	1530	1590	1470	559	1220	5280	7830
2/11/11	310	488	1710	1840	1610	566	1380	4800	9240
2/12/11	300	528	2090	2350	1890	585	1470	4580	9540
2/13/11	298	563	2440	2820	2330	578	1580	4560	9240
2/14/11	294	608	2440	2880	2700	564	1520	5580	10600
2/15/11	293	744	2410	2910	2990	550	1590	6590	13400
2/16/11	288	906	2460	3000	3100	543	1680	9270	24600
2/17/11	291	966	2370	2780	3120	557	1680	12100	21100
2/18/11	292	874	2440	2730	2960	545	1600	12500	20000
2/19/11	294	813	2620	2800	3110	561	1640	11600	17800
2/20/11	306	781	2870	3030	3210	604	1550	10900	20400
2/21/11	304	736	2770	3000	3270	486	1400	8980	18900
2/22/11	313	715	2840	2950	3130	438	1540	6780	15200
2/23/11	315	678	2870	2990	3200	464	1670	5480	14100
2/24/11	315	636	2810	2960	3250	488	1450	4930	12500
2/25/11	306	616	2650	2840	3210	463	1260	4170	11400
2/26/11	300	589	2610	2850	3170	461	1220	2910	9350
2/27/11	313	544	2640	3030	3360	467	1280	2550	7830
2/28/11	310	506	2840	2960	3510	448	1160	3050	7420
3/1/11	311	474	2630	3090	3170	478	1270	3890	7930
3/2/11	462	456	1870	2510	3250	495	1080	5880	9460
3/3/11	643	436	1950	2260	3000	482	1280	7920	12000
3/4/11	950	421	2350	2560	2800	497	1130	8260	14800
3/5/11	1390	402	2290	2650	2850	464	1100	7010	13200
3/6/11	1780	388	2400	2630	3000	475	1240	5690	13100
3/7/11	2080	370	2630	2840	3050	495	1100	5620	11500
3/8/11	2350	355	2970	3190	3160	488	1170	5380	11500
3/9/11	2600	336	3140	3440	3270	442	1150	6100	10400
3/10/11	2900	323	3350	3530	3420	414	1280	7400	10700
3/11/11	3140	310	3500	3640	3620	478	1360	9300	11000
3/12/11	3390	288	3620	3640	3710	532	1280	9160	13000
3/13/11	3680	280	3720	3710	3770	567	1180	9020	12500
3/14/11	3870	276	3370	3380	3870	543	1240	8150	12400
3/15/11	3940	267	2890	3170	3770	560	1350	8760	11800
3/16/11	4000	254	2950	2720	3620	556	1420	7910	12000
3/17/11	4050	225	2970	2990	3320	559	1390	8930	12500
3/18/11	4190	207	3850	3370	3360	538	1320	7250	12900
3/19/11	4390	195	3820	3760	3500	528	1240	8550	11200
3/20/11	4530	183	3840	3740	3910	510	1460	7400	12200
3/21/11	4580	176	3800	3750	4040	530	1880	6760	11200
3/22/11	4620	166	3690	3750	4170	539	2290	7440	10600
3/23/11	4680	153	3540	3720	4140	537	2390	7590	11600
3/24/11	4680	149	3490	3690	4170	493	2300	6990	12000
3/25/11	4700	145	3440	3720	4200	479	2060	6820	11700
3/26/11	4740	142	3430	3750	4240	482	2010	6950	11500
3/27/11	4680	135	3450	3720	4210	483	1870	7240	11600
3/28/11	4640	135	3470	3780	4200	486	1710	8690	12000
3/29/11	4570	138	3510	3800	4290	490	1760	7110	13000
3/30/11	4390	169	3580	3780	4340	496	1810	6640	11500
3/31/11	4280	192	3760	3820	4360	510	1720	6630	11000
4/1/11	4240	200	3700	3760	4370	528	1840	6070	11100
4/2/11	4140	202	3780	3730	4320	527	1860	6980	10500
4/3/11	4140	190	3840	3760	4230	552	1830	6390	11500
4/4/11	4150	179	3820	3700	4130	515	1990	6810	11200
4/5/11	4160	178	3810	3640	4100	511	1850	6240	11600
4/6/11	4220	178	3740	3610	4130	498	1660	6970	11400
4/7/11	4300	184	3670	3570	4130	494	1930	6660	11700
4/8/11	4380	181	3560	3540	4130	510	2050	6130	11400
4/9/11	4410	174	3530	3490	4150	515	2040	6430	10600
4/10/11	4470	172	3490	3430	4080	525	1930	6800	10600
4/11/11	4430	149	3440	3340	4030	501	2210	6600	11000
4/12/11	4460	147	3420	3250	3990	491	1970	6480	10500
4/13/11	4440	136	3450	3240	3970	511	1910	6820	10500
4/14/11	4500	144	3560	3550	3970	526	1960	6750	10600
4/15/11	4470	161	3930	4550	4830	536	2980	7810	11600
4/16/11	4530	183	4010	4350	5250	486	2670	10200	15300
4/17/11	4630	193	4020	4290	4900	520	1970	10600	18800
4/18/11	4660	197	3930	4180	4720	548	1640	9850	17100
4/19/11	4640	198	3810	4310	4860	544	1890	9880	17900
4/20/11	4570	188	3750	4050	4860	571	1830	10900	19800
4/21/11	4610	180	3890	4080	4600	641	1480	9530	19800
4/22/11	4650	193	4010	4180	4470	624	1510	9030	18100
4/23/11	4660	178	3920	4220	4410	604	1570	8770	16500
4/24/11	4720	181	3720	4200	4430	599	1400	8510	16000
4/25/11	4730	188	3560	4150	4570	575	1210	8450	15000
4/26/11	4740	190	3410	4010	4750	565	1250	8490	15500
4/27/11	4730	184	3310	3880	4500	553	1150	8360	15100
4/28/11	4720	183	3270	3790	4390	533	1240	7910	15000
4/29/11	4740	175	3250	3790	4310	538	1190	7130	13700
4/30/11	4730	164	3190	3750	4140	522	1090	6670	12700
5/1/11	4750	161	2300	3060	4040	489	1260	6330	11800
5/2/11	4650	161	2070	2660	3780	486	1260	6500	11200
5/3/11	4880	151	2530	2630	3360	484	1090	6350	11000
5/4/11	4950	157	3260	3440	3180	480	1100	5820	10400
5/5/11	5100	149	3040	3230	3430	476	1030	5100	9790
5/6/11	5500	143	3430	3540	3460	474	1110	4790	8830
5/7/11	5620	132	3420	3540	3560	481	1050	4540	8290
5/8/11	5780	124	3070	3270	3660	493	994	4890	7860
5/9/11	5870	117	3380	3580	3580	501	933	5040	7870
5/10/11	5740	110	3290	3570	3610	494	873	5410	7890
5/11/11	5690	120	3180	3510	3790	505	881	5160	8440
5/12/11	6220	170	3780	3980	3810	524	1080	5360	8620
5/13/11	5990	166	4000	4110	3860	490	1730	7800	13100
5/14/11	6030	154	3280	3810	3910	472	976	9560	13600
5/15/11	6230	144	3600	3600	3830	468	841	8950	14400
5/16/11	6310	133	4180	4130	3590	477	929	7870	13400
5/17/11	6280	134	4000	4020	3930	487	879	7130	12000
5/18/11	6220	151	3800	3890	4270	501	917	6300	11100
5/19/11	6450	191	3930	4020	4550	497	1120	6680	10100
5/20/11	6470	229	4040	4130	4920	534	1400	10700	18300
5/21/11	6300	280	4470	4420	4970	542	1190	10100	32500
5/22/11	6350	371	4690	4530	4760	536	1090	12900	22100
5/23/11	6310	445	4900	4890	4760	537	1280	10200	20700
5/24/11	6480	627	5390	5560	5000	558	1340	9630	17600
5/25/11	6680	948	6220	7590	6490	556	4210	10700	18200
5/26/11	6770	1160	6800	8360	8560	514	5750	19600	24800
5/27/11	6770	1270	7090	8360	9300	519	3160	18500	36200
5/28/11	6770	1310	7020	8180	9240	505	2530	17900	29200
5/29/11	6960	1280	6910	7890	8890	502	2330	16600	27300
5/30/11	7060	1270	6890	7630	8350	496	2100	16200	24500
5/31/11	6930	1160	6910	7450	8090	468	2230	15500	24500
6/1/11	7010	1060	6950	7280	7800	459	2440	14400	23600
6/2/11	7080	1010	7140	7660	7670	445	1660	14200	23300
6/3/11	7220	907	7100	7780	7730	435	1630	13500	22700
6/4/11	7260	804	7070	7670	7700	428	1530	12200	20900
6/5/11	7380	746	7230	7530	7570	427	1400	11900	19200
6/6/11	7440	718	7300	7440	7350	422	1310	11600	18300
6/7/11	7440	690	7280	7430	7380	415	1280	11100	16900
6/8/11	7540	654	7300	7420	7370	408	1280	10200	15900
6/9/11	7580	648	7340	7470	7260	420	1260	10100	14900
6/10/11	7740	647	7080	7280	7360	422	1250	9410	15200
6/11/11	7830	612	7100	6970	7310	402	1270	9380	14200
6/12/11	7880	598	7390	7060	6980	391	1100	9540	13700
6/13/11	7870	656	7420	7260	7030	406	1250	9380	13500
6/14/11	7710	729	7480	7330	7310	441	1280	9040	13300
6/15/11	7560	839	7420	7200	7140	431	1210	9290	13200
6/16/11	7500	949	7570	7260	7060	415	1180	9400	13000
6/17/11	7440	1110	7460	7280	7040	454	1240	9440	13100
6/18/11	7350	1120	7640	7070	7020	434	1270	9570	13700
6/19/11	7460	1080	8160	7670	6760	426	1380	9560	16400
6/20/11	7370	1260	8500	8310	7280	484	1700	12300	20500
6/21/11	7290	1290	8670	8630	8730	564	3250	14900	35900
6/22/11	7260	1350	8330	8650	8590	515	2790	20800	28800
6/23/11	7310	1440	8350	8110	8660	495	2090	16100	27400
6/24/11	7190	1590	8580	8120	8160	484	1690	14900	22400
6/25/11	6720	1840	8720	9060	9320	484	1540	13900	22600
6/26/11	6590	2110	8540	9100	10000	473	1570	13700	23400
6/27/11	6510	1950	8300	8480	10200	500	1270	14800	33100
6/28/11	6450	1720	7750	7910	9450	468	1260	16700	33200
6/29/11	6320	1510	7630	7420	8740	453	1180	15700	29900
6/30/11	6120	1370	7440	7270	8010	450	1220	14000	27800
7/1/11	5950	1250	7320	7110	7670	446	1280	12700	25200
7/2/11	5770	1140	7060	6890	7510	442	1310	11500	22900
7/3/11	5720	1040	7180	7170	7800	439	1370	11200	22200
7/4/11	5550	965	6680	6770	7890	428	1370	11200	21700
7/5/11	5390	895	6610	6550	7300	432	1360	11100	20100
7/6/11	5300	830	6380	6780	7160	456	1380	10800	21000
7/7/11	5270	834	6640	6710	7670	554	1720	10000	20400
7/8/11	5160	839	6270	6730	7210	465	2220	15700	20000
7/9/11	4960	883	5820	6270	7090	445	1610	12400	22700
7/10/11	4810	825	5530	5760	6630	441	1590	11200	18200
7/11/11	4670	778	5650	5740	6420	441	1570	10500	17300
7/12/11	4450	839	5740	5790	6020	639	1430	9280	16500
7/13/11	4580	1200	5550	5600	5960	763	1680	8500	15800
7/14/11	4450	1850	5600	5540	5860	650	2750	8020	15500
7/15/11	4320	2930	5280	5330	5770	624	2320	10800	15500
7/16/11	4220	3880	5350	5200	5610	601	2100	10900	18500
7/17/11	4240	4320	5470	5250	5380	575	1870	10200	17800
7/18/11	4360	4860	5660	5410	5380	569	1580	8650	16900
7/19/11	4430	5450	5570	5580	5540	561	1320	7780	15100
7/20/11	4530	6130	5350	5420	5640	542	1070	7520	13300
7/21/11	4540	6850	5550	5310	5810	539	864	7180	12700
7/22/11	4550	6980	5700	5540	5530	534	759	7020	12600
7/23/11	4570	4950	5620	5600	5670	524	568	7550	12300
7/24/11	4580	3940	5780	5830	5920	520	518	6550	12600
7/25/11	4560	3450	6070	6310	6460	512	505	6430	11200
7/26/11	4540	2860	5610	6330	6640	575	478	6400	10500
7/27/11	4540	2470	5370	5630	6610	589	492	7050	10200
7/28/11	4520	1930	4920	5300	5960	561	794	7520	11300
7/29/11	4510	1580	4800	4840	5580	534	1010	7180	12000
7/30/11	4510	1330	4750	4760	5170	528	712	8340	11600
7/31/11	4610	1130	4550	4650	5020	521	728	7730	12000
8/1/11	4580	971	4290	4380	4820	507	645	7100	10900
8/2/11	4550	847	4060	4080	4480	499	596	6390	9930
8/3/11	4630	757	3820	3770	4230	497	734	5720	9140
8/4/11	4680	656	3920	3740	4090	497	510	5290	8300
8/5/11	4710	583	4480	4240	4180	520	478	5100	7780
8/6/11	4610	497	5120	4860	4530	507	485	5640	7600
8/7/11	4690	443	4590	5020	4930	510	498	5990	8370
8/8/11	4650	414	4770	4720	5220	508	545	6160	8470
8/9/11	4790	338	4970	4940	4900	508	647	6310	8230
8/10/11	4900	395	5080	5180	5070	529	729	6110	8370
8/11/11	4640	436	5040	5060	5250	538	705	6680	7870
8/12/11	4560	419	5090	5010	5170	544	664	8380	10600
8/13/11	4680	436	5090	5080	5100	516	635	10700	12900
8/14/11	4850	414	4840	4940	5080	506	686	10800	14300
8/15/11	4950	386	4960	5530	5320	507	985	9750	12900
8/16/11	4870	330	4620	4940	5500	506	802	9640	12300
8/17/11	4760	294	4160	4470	4900	493	918	9960	12100
8/18/11	4770	262	3650	4090	4500	499	818	9370	12300
8/19/11	4790	227	3260	3560	4120	540	685	8590	12800
8/20/11	4800	211	3130	3290	3750	503	531	7520	11600
8/21/11	4760	192	3310	3360	3520	503	553	6610	10200
8/22/11	4720	169	3470	3420	3550	499	607	5690	9580
8/23/11	4650	140	3410	3370	3600	500	893	5080	10100
8/24/11	4450	119	3260	3160	3560	499	792	5090	9580
8/25/11	3000	112	3250	3010	3400	482	805	5030	7480
8/26/11	2540	113	3290	2990	3280	476	792	4680	6880
8/27/11	2430	111	3480	3080	3240	480	553	4360	6360
8/28/11	2400	114	3590	3210	3280	493	447	4380	5800
8/29/11	2880	113	3690	3290	3470	495	492	4010	5840
8/30/11	4000	124	4100	3650	3970	505	662	4220	7620
8/31/11	4280	303	4120	3880	4140	506	757	4610	9490
9/1/11	4420	256	4050	3790	4210	498	562	4720	8140
