# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ne/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-04-02 17:36:50 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06770500 Platte River near Grand Island, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06770500
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06770500	2011-01-01	2170	A:e
USGS	06770500	2011-01-02	1740	A:e
USGS	06770500	2011-01-03	1510	A:e
USGS	06770500	2011-01-04	1410	A:e
USGS	06770500	2011-01-05	1470	A:e
USGS	06770500	2011-01-06	1630	A:e
USGS	06770500	2011-01-07	1810	A:e
USGS	06770500	2011-01-08	1800	A:e
USGS	06770500	2011-01-09	1580	A:e
USGS	06770500	2011-01-10	1250	A:e
USGS	06770500	2011-01-11	718	A:e
USGS	06770500	2011-01-12	621	A:e
USGS	06770500	2011-01-13	847	A:e
USGS	06770500	2011-01-14	1210	A:e
USGS	06770500	2011-01-15	1490	A:e
USGS	06770500	2011-01-16	1830	A:e
USGS	06770500	2011-01-17	2220	A:e
USGS	06770500	2011-01-18	2320	A:e
USGS	06770500	2011-01-19	2110	A:e
USGS	06770500	2011-01-20	1970	A:e
USGS	06770500	2011-01-21	2100	A:e
USGS	06770500	2011-01-22	2380	A:e
USGS	06770500	2011-01-23	2320	A:e
USGS	06770500	2011-01-24	2680	A:e
USGS	06770500	2011-01-25	3000	A:e
USGS	06770500	2011-01-26	3130	A:e
USGS	06770500	2011-01-27	3260	A:e
USGS	06770500	2011-01-28	3350	A:e
USGS	06770500	2011-01-29	3350	A:e
USGS	06770500	2011-01-30	3120	A:e
USGS	06770500	2011-01-31	2710	A:e
USGS	06770500	2011-02-01	1620	A:e
USGS	06770500	2011-02-02	1220	A:e
USGS	06770500	2011-02-03	1370	A:e
USGS	06770500	2011-02-04	1810	A:e
USGS	06770500	2011-02-05	2140	A:e
USGS	06770500	2011-02-06	1930	A:e
USGS	06770500	2011-02-07	1580	A:e
USGS	06770500	2011-02-08	1240	A:e
USGS	06770500	2011-02-09	1290	A:e
USGS	06770500	2011-02-10	1470	A:e
USGS	06770500	2011-02-11	1610	A:e
USGS	06770500	2011-02-12	1890	A:e
USGS	06770500	2011-02-13	2330	A:e
USGS	06770500	2011-02-14	2700	A:e
USGS	06770500	2011-02-15	2990	A:e
USGS	06770500	2011-02-16	3100	A:e
USGS	06770500	2011-02-17	3120	A:e
USGS	06770500	2011-02-18	2960	A:e
USGS	06770500	2011-02-19	3110	A:e
USGS	06770500	2011-02-20	3210	A:e
USGS	06770500	2011-02-21	3270	A:e
USGS	06770500	2011-02-22	3130	A
USGS	06770500	2011-02-23	3200	A
USGS	06770500	2011-02-24	3250	A
USGS	06770500	2011-02-25	3210	A:e
USGS	06770500	2011-02-26	3170	A:e
USGS	06770500	2011-02-27	3360	A
USGS	06770500	2011-02-28	3510	A
USGS	06770500	2011-03-01	3170	A
USGS	06770500	2011-03-02	3250	A
USGS	06770500	2011-03-03	3000	A
USGS	06770500	2011-03-04	2800	A
USGS	06770500	2011-03-05	2850	A
USGS	06770500	2011-03-06	3000	A
USGS	06770500	2011-03-07	3050	A
USGS	06770500	2011-03-08	3160	A
USGS	06770500	2011-03-09	3270	A
USGS	06770500	2011-03-10	3420	A
USGS	06770500	2011-03-11	3620	A
USGS	06770500	2011-03-12	3710	A
USGS	06770500	2011-03-13	3770	A
USGS	06770500	2011-03-14	3870	A
USGS	06770500	2011-03-15	3770	A
USGS	06770500	2011-03-16	3620	A
USGS	06770500	2011-03-17	3320	A
USGS	06770500	2011-03-18	3360	A
USGS	06770500	2011-03-19	3500	A
USGS	06770500	2011-03-20	3910	A
USGS	06770500	2011-03-21	4040	A
USGS	06770500	2011-03-22	4170	A
USGS	06770500	2011-03-23	4140	A
USGS	06770500	2011-03-24	4170	A
USGS	06770500	2011-03-25	4200	A
USGS	06770500	2011-03-26	4240	A
USGS	06770500	2011-03-27	4210	A
USGS	06770500	2011-03-28	4200	A
USGS	06770500	2011-03-29	4290	A
USGS	06770500	2011-03-30	4340	A
USGS	06770500	2011-03-31	4360	A
USGS	06770500	2011-04-01	4370	A
USGS	06770500	2011-04-02	4320	A
USGS	06770500	2011-04-03	4230	A
USGS	06770500	2011-04-04	4130	A
USGS	06770500	2011-04-05	4100	A
USGS	06770500	2011-04-06	4130	A
USGS	06770500	2011-04-07	4130	A
USGS	06770500	2011-04-08	4130	A
USGS	06770500	2011-04-09	4150	A
USGS	06770500	2011-04-10	4080	A
USGS	06770500	2011-04-11	4030	A
USGS	06770500	2011-04-12	3990	A
USGS	06770500	2011-04-13	3970	A
USGS	06770500	2011-04-14	3970	A
USGS	06770500	2011-04-15	4830	A
USGS	06770500	2011-04-16	5250	A
USGS	06770500	2011-04-17	4900	A
USGS	06770500	2011-04-18	4720	A
USGS	06770500	2011-04-19	4860	A
USGS	06770500	2011-04-20	4860	A
USGS	06770500	2011-04-21	4600	A
USGS	06770500	2011-04-22	4470	A
USGS	06770500	2011-04-23	4410	A
USGS	06770500	2011-04-24	4430	A
USGS	06770500	2011-04-25	4570	A
USGS	06770500	2011-04-26	4750	A
USGS	06770500	2011-04-27	4500	A
USGS	06770500	2011-04-28	4390	A
USGS	06770500	2011-04-29	4310	A
USGS	06770500	2011-04-30	4140	A
USGS	06770500	2011-05-01	4040	A
USGS	06770500	2011-05-02	3780	A
USGS	06770500	2011-05-03	3360	A
