# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ne/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-04-02 17:36:49 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06770200 Platte River near Kearney, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06770200
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06770200	2011-01-01	2130	A
USGS	06770200	2011-01-02	1620	A
USGS	06770200	2011-01-03	1300	A:e
USGS	06770200	2011-01-04	1090	A:e
USGS	06770200	2011-01-05	1380	A:e
USGS	06770200	2011-01-06	1580	A:e
USGS	06770200	2011-01-07	1740	A:e
USGS	06770200	2011-01-08	1680	A:e
USGS	06770200	2011-01-09	1510	A:e
USGS	06770200	2011-01-10	1250	A:e
USGS	06770200	2011-01-11	785	A:e
USGS	06770200	2011-01-12	847	A:e
USGS	06770200	2011-01-13	988	A:e
USGS	06770200	2011-01-14	1190	A:e
USGS	06770200	2011-01-15	1390	A:e
USGS	06770200	2011-01-16	1670	A:e
USGS	06770200	2011-01-17	2130	A:e
USGS	06770200	2011-01-18	2330	A:e
USGS	06770200	2011-01-19	2270	A:e
USGS	06770200	2011-01-20	2130	A:e
USGS	06770200	2011-01-21	2180	A:e
USGS	06770200	2011-01-22	2370	A:e
USGS	06770200	2011-01-23	2660	A:e
USGS	06770200	2011-01-24	2840	A:e
USGS	06770200	2011-01-25	2840	A:e
USGS	06770200	2011-01-26	2940	A:e
USGS	06770200	2011-01-27	3010	A:e
USGS	06770200	2011-01-28	3050	A:e
USGS	06770200	2011-01-29	3100	A:e
USGS	06770200	2011-01-30	3040	A:e
USGS	06770200	2011-01-31	2690	A:e
USGS	06770200	2011-02-01	1530	A:e
USGS	06770200	2011-02-02	1310	A:e
USGS	06770200	2011-02-03	1370	A:e
USGS	06770200	2011-02-04	1730	A:e
USGS	06770200	2011-02-05	2010	A:e
USGS	06770200	2011-02-06	1660	A:e
USGS	06770200	2011-02-07	1410	A:e
USGS	06770200	2011-02-08	1300	A:e
USGS	06770200	2011-02-09	1420	A:e
USGS	06770200	2011-02-10	1590	A:e
USGS	06770200	2011-02-11	1840	A:e
USGS	06770200	2011-02-12	2350	A:e
USGS	06770200	2011-02-13	2820	A:e
USGS	06770200	2011-02-14	2880	A:e
USGS	06770200	2011-02-15	2910	A:e
USGS	06770200	2011-02-16	3000	A:e
USGS	06770200	2011-02-17	2780	A
USGS	06770200	2011-02-18	2730	A
USGS	06770200	2011-02-19	2800	A
USGS	06770200	2011-02-20	3030	A
USGS	06770200	2011-02-21	3000	A
USGS	06770200	2011-02-22	2950	A
USGS	06770200	2011-02-23	2990	A
USGS	06770200	2011-02-24	2960	A
USGS	06770200	2011-02-25	2840	A
USGS	06770200	2011-02-26	2850	A
