# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ne/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-04-02 17:36:51 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06805500 Platte River at Louisville, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06805500
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06805500	2011-01-01	6250	A:e
USGS	06805500	2011-01-02	6330	A:e
USGS	06805500	2011-01-03	6460	A:e
USGS	06805500	2011-01-04	6160	A:e
USGS	06805500	2011-01-05	5950	A:e
USGS	06805500	2011-01-06	5870	A:e
USGS	06805500	2011-01-07	5780	A:e
USGS	06805500	2011-01-08	6040	A:e
USGS	06805500	2011-01-09	7630	A:e
USGS	06805500	2011-01-10	10000	A:e
USGS	06805500	2011-01-11	13700	A:e
USGS	06805500	2011-01-12	11100	A:e
USGS	06805500	2011-01-13	9640	A:e
USGS	06805500	2011-01-14	11200	A:e
USGS	06805500	2011-01-15	9430	A:e
USGS	06805500	2011-01-16	8530	A:e
USGS	06805500	2011-01-17	8270	A:e
USGS	06805500	2011-01-18	7960	A:e
USGS	06805500	2011-01-19	7460	A:e
USGS	06805500	2011-01-20	7480	A:e
USGS	06805500	2011-01-21	7880	A:e
USGS	06805500	2011-01-22	8170	A:e
USGS	06805500	2011-01-23	8370	A:e
USGS	06805500	2011-01-24	8470	A:e
USGS	06805500	2011-01-25	8490	A:e
USGS	06805500	2011-01-26	8360	A:e
USGS	06805500	2011-01-27	8830	A:e
USGS	06805500	2011-01-28	9140	A:e
USGS	06805500	2011-01-29	9240	A:e
USGS	06805500	2011-01-30	9640	A:e
USGS	06805500	2011-01-31	9540	A:e
USGS	06805500	2011-02-01	8930	A:e
USGS	06805500	2011-02-02	8830	A:e
USGS	06805500	2011-02-03	8030	A:e
USGS	06805500	2011-02-04	8830	A:e
USGS	06805500	2011-02-05	8130	A:e
USGS	06805500	2011-02-06	7530	A:e
USGS	06805500	2011-02-07	7130	A:e
USGS	06805500	2011-02-08	6820	A:e
USGS	06805500	2011-02-09	7130	A:e
USGS	06805500	2011-02-10	7830	A:e
USGS	06805500	2011-02-11	9240	A:e
USGS	06805500	2011-02-12	9540	A:e
USGS	06805500	2011-02-13	9240	A:e
USGS	06805500	2011-02-14	10600	A:e
USGS	06805500	2011-02-15	13400	A:e
USGS	06805500	2011-02-16	24600	A:e
USGS	06805500	2011-02-17	21100	A:e
USGS	06805500	2011-02-18	20000	A:e
USGS	06805500	2011-02-19	17800	A:e
USGS	06805500	2011-02-20	20400	A:e
USGS	06805500	2011-02-21	18900	A:e
USGS	06805500	2011-02-22	15200	A:e
USGS	06805500	2011-02-23	14100	A:e
USGS	06805500	2011-02-24	12500	A:e
USGS	06805500	2011-02-25	11400	A:e
USGS	06805500	2011-02-26	9350	A:e
USGS	06805500	2011-02-27	7830	A:e
USGS	06805500	2011-02-28	7420	A:e
USGS	06805500	2011-03-01	7930	A
USGS	06805500	2011-03-02	9460	A
USGS	06805500	2011-03-03	12000	A
USGS	06805500	2011-03-04	14800	A
USGS	06805500	2011-03-05	13200	A
USGS	06805500	2011-03-06	13100	A
USGS	06805500	2011-03-07	11500	A
USGS	06805500	2011-03-08	11500	A
USGS	06805500	2011-03-09	10400	A
USGS	06805500	2011-03-10	10700	A
USGS	06805500	2011-03-11	11000	A
USGS	06805500	2011-03-12	13000	A
USGS	06805500	2011-03-13	12500	A
USGS	06805500	2011-03-14	12400	A
USGS	06805500	2011-03-15	11800	A
USGS	06805500	2011-03-16	12000	A
USGS	06805500	2011-03-17	12500	A
USGS	06805500	2011-03-18	12900	A
USGS	06805500	2011-03-19	11200	A
USGS	06805500	2011-03-20	12200	A
USGS	06805500	2011-03-21	11200	A
USGS	06805500	2011-03-22	10600	A
USGS	06805500	2011-03-23	11600	A
USGS	06805500	2011-03-24	12000	A
USGS	06805500	2011-03-25	11700	A
USGS	06805500	2011-03-26	11500	A
USGS	06805500	2011-03-27	11600	A
USGS	06805500	2011-03-28	12000	A
USGS	06805500	2011-03-29	13000	A
USGS	06805500	2011-03-30	11500	A
USGS	06805500	2011-03-31	11000	A
USGS	06805500	2011-04-01	11100	A
USGS	06805500	2011-04-02	10500	A
USGS	06805500	2011-04-03	11500	A
USGS	06805500	2011-04-04	11200	A
USGS	06805500	2011-04-05	11600	A
USGS	06805500	2011-04-06	11400	A
USGS	06805500	2011-04-07	11700	A
USGS	06805500	2011-04-08	11400	A
USGS	06805500	2011-04-09	10600	A
USGS	06805500	2011-04-10	10600	A
USGS	06805500	2011-04-11	11000	A
USGS	06805500	2011-04-12	10500	A
USGS	06805500	2011-04-13	10500	A
USGS	06805500	2011-04-14	10600	A
USGS	06805500	2011-04-15	11600	A
USGS	06805500	2011-04-16	15300	A
USGS	06805500	2011-04-17	18800	A
USGS	06805500	2011-04-18	17100	A
USGS	06805500	2011-04-19	17900	A
USGS	06805500	2011-04-20	19800	A
USGS	06805500	2011-04-21	19800	A
USGS	06805500	2011-04-22	18100	A
USGS	06805500	2011-04-23	16500	A
USGS	06805500	2011-04-24	16000	A
USGS	06805500	2011-04-25	15000	A
USGS	06805500	2011-04-26	15500	A
USGS	06805500	2011-04-27	15100	A
USGS	06805500	2011-04-28	15000	A
USGS	06805500	2011-04-29	13700	A
USGS	06805500	2011-04-30	12700	A
USGS	06805500	2011-05-01	11800	A
USGS	06805500	2011-05-02	11200	A
USGS	06805500	2011-05-03	11000	A
USGS	06805500	2011-05-04	10400	A
USGS	06805500	2011-05-05	9790	A
USGS	06805500	2011-05-06	8830	A
USGS	06805500	2011-05-07	8290	A
USGS	06805500	2011-05-08	7860	A
USGS	06805500	2011-05-09	7870	A
USGS	06805500	2011-05-10	7890	A
USGS	06805500	2011-05-11	8440	A
USGS	06805500	2011-05-12	8620	A
USGS	06805500	2011-05-13	13100	A
USGS	06805500	2011-05-14	13600	A
USGS	06805500	2011-05-15	14400	A
USGS	06805500	2011-05-16	13400	A
USGS	06805500	2011-05-17	12000	A
USGS	06805500	2011-05-18	11100	A
USGS	06805500	2011-05-19	10100	A
USGS	06805500	2011-05-20	18300	A
USGS	06805500	2011-05-21	32500	A
USGS	06805500	2011-05-22	22100	A
USGS	06805500	2011-05-23	20700	A
USGS	06805500	2011-05-24	17600	A
USGS	06805500	2011-05-25	18200	A
USGS	06805500	2011-05-26	24800	A
USGS	06805500	2011-05-27	36200	A
USGS	06805500	2011-05-28	29200	A
USGS	06805500	2011-05-29	27300	A
USGS	06805500	2011-05-30	24500	A
USGS	06805500	2011-05-31	24500	A
USGS	06805500	2011-06-01	23600	A
USGS	06805500	2011-06-02	23300	A
USGS	06805500	2011-06-03	22700	A
USGS	06805500	2011-06-04	20900	A
USGS	06805500	2011-06-05	19200	A
USGS	06805500	2011-06-06	18300	A
USGS	06805500	2011-06-07	16900	A
