# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ne/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-04-02 17:36:50 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06796000 Platte River at North Bend, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06796000
#    DD parameter statistic   Description
#    07   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	07_00060_00003	07_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06796000	2011-01-01	4100	A:e
USGS	06796000	2011-01-02	3950	A:e
USGS	06796000	2011-01-03	3490	A:e
USGS	06796000	2011-01-04	3100	A:e
USGS	06796000	2011-01-05	2880	A:e
USGS	06796000	2011-01-06	2530	A:e
USGS	06796000	2011-01-07	3140	A:e
USGS	06796000	2011-01-08	3580	A:e
USGS	06796000	2011-01-09	4240	A:e
USGS	06796000	2011-01-10	4950	A:e
USGS	06796000	2011-01-11	4540	A:e
USGS	06796000	2011-01-12	4850	A:e
USGS	06796000	2011-01-13	5220	A:e
USGS	06796000	2011-01-14	4950	A:e
USGS	06796000	2011-01-15	4730	A:e
USGS	06796000	2011-01-16	5100	A:e
USGS	06796000	2011-01-17	4770	A:e
USGS	06796000	2011-01-18	4730	A:e
USGS	06796000	2011-01-19	4970	A:e
USGS	06796000	2011-01-20	5390	A:e
USGS	06796000	2011-01-21	6100	A:e
USGS	06796000	2011-01-22	6470	A:e
USGS	06796000	2011-01-23	6330	A:e
USGS	06796000	2011-01-24	6010	A:e
USGS	06796000	2011-01-25	5920	A:e
USGS	06796000	2011-01-26	6140	A:e
USGS	06796000	2011-01-27	5990	A:e
USGS	06796000	2011-01-28	6210	A:e
USGS	06796000	2011-01-29	6380	A:e
USGS	06796000	2011-01-30	6690	A:e
USGS	06796000	2011-01-31	6950	A:e
USGS	06796000	2011-02-01	6380	A:e
USGS	06796000	2011-02-02	5990	A:e
USGS	06796000	2011-02-03	6020	A:e
USGS	06796000	2011-02-04	5370	A:e
USGS	06796000	2011-02-05	4760	A:e
USGS	06796000	2011-02-06	4320	A:e
