# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ne/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-04-02 17:36:48 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06768000 Platte River near Overton, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06768000
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06768000	2011-01-01	1970	A
USGS	06768000	2011-01-02	1430	A
USGS	06768000	2011-01-03	857	A
USGS	06768000	2011-01-04	1620	A
USGS	06768000	2011-01-05	1680	A
USGS	06768000	2011-01-06	1800	A
USGS	06768000	2011-01-07	1850	A
USGS	06768000	2011-01-08	1790	A
USGS	06768000	2011-01-09	1760	A
USGS	06768000	2011-01-10	1340	A
USGS	06768000	2011-01-11	1160	A
USGS	06768000	2011-01-12	1140	A
USGS	06768000	2011-01-13	1430	A
USGS	06768000	2011-01-14	1500	A
USGS	06768000	2011-01-15	1620	A
USGS	06768000	2011-01-16	1740	A
USGS	06768000	2011-01-17	1970	A
USGS	06768000	2011-01-18	2430	A
USGS	06768000	2011-01-19	2400	A
USGS	06768000	2011-01-20	2440	A
USGS	06768000	2011-01-21	1900	A
USGS	06768000	2011-01-22	2090	A
USGS	06768000	2011-01-23	2670	A
USGS	06768000	2011-01-24	2590	A
USGS	06768000	2011-01-25	2430	A
USGS	06768000	2011-01-26	2390	A
USGS	06768000	2011-01-27	2480	A
USGS	06768000	2011-01-28	2580	A
USGS	06768000	2011-01-29	2650	A
USGS	06768000	2011-01-30	2590	A
USGS	06768000	2011-01-31	2380	A
USGS	06768000	2011-02-01	1360	A
USGS	06768000	2011-02-02	1460	A
USGS	06768000	2011-02-03	1560	A
USGS	06768000	2011-02-04	1540	A
USGS	06768000	2011-02-05	1840	A
USGS	06768000	2011-02-06	1010	A
USGS	06768000	2011-02-07	1340	A
USGS	06768000	2011-02-08	1610	A:e
USGS	06768000	2011-02-09	1540	A
USGS	06768000	2011-02-10	1530	A
USGS	06768000	2011-02-11	1710	A
USGS	06768000	2011-02-12	2090	A
USGS	06768000	2011-02-13	2440	A
USGS	06768000	2011-02-14	2440	A
USGS	06768000	2011-02-15	2410	A
USGS	06768000	2011-02-16	2460	A
USGS	06768000	2011-02-17	2370	A
USGS	06768000	2011-02-18	2440	A
USGS	06768000	2011-02-19	2620	A
USGS	06768000	2011-02-20	2870	A
USGS	06768000	2011-02-21	2770	A
USGS	06768000	2011-02-22	2840	A
USGS	06768000	2011-02-23	2870	A
USGS	06768000	2011-02-24	2810	A
USGS	06768000	2011-02-25	2650	A
USGS	06768000	2011-02-26	2610	A
USGS	06768000	2011-02-27	2640	A
USGS	06768000	2011-02-28	2840	A
USGS	06768000	2011-03-01	2630	A
USGS	06768000	2011-03-02	1870	A
USGS	06768000	2011-03-03	1950	A
USGS	06768000	2011-03-04	2350	A
USGS	06768000	2011-03-05	2290	A
USGS	06768000	2011-03-06	2400	A
USGS	06768000	2011-03-07	2630	A
USGS	06768000	2011-03-08	2970	A
USGS	06768000	2011-03-09	3140	A
USGS	06768000	2011-03-10	3350	A
USGS	06768000	2011-03-11	3500	A
USGS	06768000	2011-03-12	3620	A
USGS	06768000	2011-03-13	3720	A
USGS	06768000	2011-03-14	3370	A
USGS	06768000	2011-03-15	2890	A
USGS	06768000	2011-03-16	2950	A
USGS	06768000	2011-03-17	2970	A
USGS	06768000	2011-03-18	3850	A
USGS	06768000	2011-03-19	3820	A
USGS	06768000	2011-03-20	3840	A
USGS	06768000	2011-03-21	3800	A
USGS	06768000	2011-03-22	3690	A
USGS	06768000	2011-03-23	3540	A:e
USGS	06768000	2011-03-24	3490	A:e
USGS	06768000	2011-03-25	3440	A:e
USGS	06768000	2011-03-26	3430	A:e
USGS	06768000	2011-03-27	3450	A:e
USGS	06768000	2011-03-28	3470	A:e
USGS	06768000	2011-03-29	3510	A:e
USGS	06768000	2011-03-30	3580	A
USGS	06768000	2011-03-31	3760	A
USGS	06768000	2011-04-01	3700	A
USGS	06768000	2011-04-02	3780	A
USGS	06768000	2011-04-03	3840	A
USGS	06768000	2011-04-04	3820	A
USGS	06768000	2011-04-05	3810	A
USGS	06768000	2011-04-06	3740	A
USGS	06768000	2011-04-07	3670	A
USGS	06768000	2011-04-08	3560	A
USGS	06768000	2011-04-09	3530	A
USGS	06768000	2011-04-10	3490	A
USGS	06768000	2011-04-11	3440	A
USGS	06768000	2011-04-12	3420	A
USGS	06768000	2011-04-13	3450	A
USGS	06768000	2011-04-14	3560	A
USGS	06768000	2011-04-15	3930	A
USGS	06768000	2011-04-16	4010	A
USGS	06768000	2011-04-17	4020	A
USGS	06768000	2011-04-18	3930	A
USGS	06768000	2011-04-19	3810	A
USGS	06768000	2011-04-20	3750	A
USGS	06768000	2011-04-21	3890	A
USGS	06768000	2011-04-22	4010	A
USGS	06768000	2011-04-23	3920	A
USGS	06768000	2011-04-24	3720	A
USGS	06768000	2011-04-25	3560	A
USGS	06768000	2011-04-26	3410	A
USGS	06768000	2011-04-27	3310	A
USGS	06768000	2011-04-28	3270	A
USGS	06768000	2011-04-29	3250	A
