# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ne/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-04-02 17:36:45 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06764880 South Platte River at Roscoe, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06764880
#    DD parameter statistic   Description
#    07   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	07_00060_00003	07_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06764880	2011-01-01	76	A:e
USGS	06764880	2011-01-02	79	A:e
USGS	06764880	2011-01-03	84	A:e
USGS	06764880	2011-01-04	95	A:e
USGS	06764880	2011-01-05	157	A:e
USGS	06764880	2011-01-06	257	A:e
USGS	06764880	2011-01-07	321	A:e
USGS	06764880	2011-01-08	380	A:e
USGS	06764880	2011-01-09	405	A:e
USGS	06764880	2011-01-10	410	A:e
USGS	06764880	2011-01-11	361	A:e
USGS	06764880	2011-01-12	351	A:e
USGS	06764880	2011-01-13	380	A:e
USGS	06764880	2011-01-14	445	A:e
USGS	06764880	2011-01-15	505	A:e
USGS	06764880	2011-01-16	563	A:e
USGS	06764880	2011-01-17	633	A:e
USGS	06764880	2011-01-18	725	A:e
USGS	06764880	2011-01-19	786	A:e
USGS	06764880	2011-01-20	808	A:e
USGS	06764880	2011-01-21	821	A:e
USGS	06764880	2011-01-22	740	A:e
USGS	06764880	2011-01-23	624	A:e
USGS	06764880	2011-01-24	573	A:e
USGS	06764880	2011-01-25	527	A:e
USGS	06764880	2011-01-26	522	A:e
USGS	06764880	2011-01-27	502	A:e
USGS	06764880	2011-01-28	463	A:e
USGS	06764880	2011-01-29	387	A:e
USGS	06764880	2011-01-30	338	A:e
USGS	06764880	2011-01-31	316	A:e
USGS	06764880	2011-02-01	294	A:e
USGS	06764880	2011-02-02	290	A:e
