# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ne/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-04-02 17:36:47 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06785000 Middle Loup River at Saint Paul, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06785000
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06785000	2011-01-01	961	A:e
USGS	06785000	2011-01-02	1030	A:e
USGS	06785000	2011-01-03	1080	A:e
USGS	06785000	2011-01-04	1090	A:e
USGS	06785000	2011-01-05	1160	A:e
USGS	06785000	2011-01-06	1300	A:e
USGS	06785000	2011-01-07	1290	A:e
USGS	06785000	2011-01-08	1120	A:e
USGS	06785000	2011-01-09	1120	A:e
USGS	06785000	2011-01-10	1070	A:e
USGS	06785000	2011-01-11	967	A:e
USGS	06785000	2011-01-12	934	A:e
USGS	06785000	2011-01-13	1130	A:e
USGS	06785000	2011-01-14	1240	A:e
USGS	06785000	2011-01-15	1170	A:e
USGS	06785000	2011-01-16	1160	A:e
USGS	06785000	2011-01-17	1360	A:e
USGS	06785000	2011-01-18	1150	A:e
USGS	06785000	2011-01-19	1070	A:e
USGS	06785000	2011-01-20	1060	A:e
USGS	06785000	2011-01-21	1230	A:e
USGS	06785000	2011-01-22	1220	A:e
USGS	06785000	2011-01-23	1080	A:e
USGS	06785000	2011-01-24	1290	A:e
USGS	06785000	2011-01-25	1240	A:e
USGS	06785000	2011-01-26	1270	A:e
USGS	06785000	2011-01-27	1390	A:e
USGS	06785000	2011-01-28	1400	A:e
USGS	06785000	2011-01-29	1290	A:e
USGS	06785000	2011-01-30	1150	A:e
USGS	06785000	2011-01-31	1070	A:e
USGS	06785000	2011-02-01	976	A:e
USGS	06785000	2011-02-02	1010	A:e
USGS	06785000	2011-02-03	1130	A:e
USGS	06785000	2011-02-04	1300	A:e
USGS	06785000	2011-02-05	1380	A:e
USGS	06785000	2011-02-06	1330	A:e
USGS	06785000	2011-02-07	1160	A:e
USGS	06785000	2011-02-08	994	A:e
USGS	06785000	2011-02-09	1110	A:e
USGS	06785000	2011-02-10	1220	A:e
USGS	06785000	2011-02-11	1380	A:e
USGS	06785000	2011-02-12	1470	A:e
USGS	06785000	2011-02-13	1580	A:e
USGS	06785000	2011-02-14	1520	A:e
USGS	06785000	2011-02-15	1590	A:e
USGS	06785000	2011-02-16	1680	A:e
USGS	06785000	2011-02-17	1680	A:e
USGS	06785000	2011-02-18	1600	A:e
USGS	06785000	2011-02-19	1640	A:e
USGS	06785000	2011-02-20	1550	A:e
USGS	06785000	2011-02-21	1400	A:e
USGS	06785000	2011-02-22	1540	A:e
USGS	06785000	2011-02-23	1670	A:e
USGS	06785000	2011-02-24	1450	A:e
USGS	06785000	2011-02-25	1260	A:e
USGS	06785000	2011-02-26	1220	A:e
USGS	06785000	2011-02-27	1280	A:e
USGS	06785000	2011-02-28	1160	A:e
USGS	06785000	2011-03-01	1270	A:e
USGS	06785000	2011-03-02	1080	A:e
USGS	06785000	2011-03-03	1280	A:e
USGS	06785000	2011-03-04	1130	A:e
USGS	06785000	2011-03-05	1100	A:e
USGS	06785000	2011-03-06	1240	A:e
USGS	06785000	2011-03-07	1100	A:e
USGS	06785000	2011-03-08	1170	A:e
USGS	06785000	2011-03-09	1150	A:e
USGS	06785000	2011-03-10	1280	A:e
USGS	06785000	2011-03-11	1360	A:e
USGS	06785000	2011-03-12	1280	A:e
USGS	06785000	2011-03-13	1180	A:e
USGS	06785000	2011-03-14	1240	A:e
USGS	06785000	2011-03-15	1350	A:e
USGS	06785000	2011-03-16	1420	A:e
USGS	06785000	2011-03-17	1390	A:e
USGS	06785000	2011-03-18	1320	A:e
USGS	06785000	2011-03-19	1240	A
USGS	06785000	2011-03-20	1460	A
USGS	06785000	2011-03-21	1880	A
USGS	06785000	2011-03-22	2290	A
USGS	06785000	2011-03-23	2390	A
USGS	06785000	2011-03-24	2300	A
USGS	06785000	2011-03-25	2060	A
USGS	06785000	2011-03-26	2010	A
USGS	06785000	2011-03-27	1870	A
USGS	06785000	2011-03-28	1710	A
USGS	06785000	2011-03-29	1760	A
USGS	06785000	2011-03-30	1810	A
USGS	06785000	2011-03-31	1720	A
USGS	06785000	2011-04-01	1840	A
USGS	06785000	2011-04-02	1860	A
USGS	06785000	2011-04-03	1830	A
USGS	06785000	2011-04-04	1990	A
USGS	06785000	2011-04-05	1850	A
USGS	06785000	2011-04-06	1660	A
USGS	06785000	2011-04-07	1930	A
USGS	06785000	2011-04-08	2050	A
USGS	06785000	2011-04-09	2040	A
USGS	06785000	2011-04-10	1930	A
USGS	06785000	2011-04-11	2210	A
USGS	06785000	2011-04-12	1970	A
USGS	06785000	2011-04-13	1910	A
USGS	06785000	2011-04-14	1960	A
USGS	06785000	2011-04-15	2980	A
USGS	06785000	2011-04-16	2670	A
USGS	06785000	2011-04-17	1970	A
USGS	06785000	2011-04-18	1640	A
USGS	06785000	2011-04-19	1890	A
USGS	06785000	2011-04-20	1830	A
USGS	06785000	2011-04-21	1480	A
USGS	06785000	2011-04-22	1510	A
USGS	06785000	2011-04-23	1570	A
USGS	06785000	2011-04-24	1400	A
USGS	06785000	2011-04-25	1210	A
USGS	06785000	2011-04-26	1250	A
USGS	06785000	2011-04-27	1150	A
USGS	06785000	2011-04-28	1240	A
USGS	06785000	2011-04-29	1190	A
USGS	06785000	2011-04-30	1090	A
USGS	06785000	2011-05-01	1260	A
USGS	06785000	2011-05-02	1260	A
USGS	06785000	2011-05-03	1090	A
USGS	06785000	2011-05-04	1100	A
USGS	06785000	2011-05-05	1030	A
USGS	06785000	2011-05-06	1110	A
USGS	06785000	2011-05-07	1050	A
USGS	06785000	2011-05-08	994	A
USGS	06785000	2011-05-09	933	A
USGS	06785000	2011-05-10	873	A
USGS	06785000	2011-05-11	881	A
USGS	06785000	2011-05-12	1080	A
USGS	06785000	2011-05-13	1730	A
USGS	06785000	2011-05-14	976	A
USGS	06785000	2011-05-15	841	A
USGS	06785000	2011-05-16	929	A
USGS	06785000	2011-05-17	879	A
USGS	06785000	2011-05-18	917	A
USGS	06785000	2011-05-19	1120	A
USGS	06785000	2011-05-20	1400	A
USGS	06785000	2011-05-21	1190	A
USGS	06785000	2011-05-22	1090	A
USGS	06785000	2011-05-23	1280	A
USGS	06785000	2011-05-24	1340	A
USGS	06785000	2011-05-25	4210	A
USGS	06785000	2011-05-26	5750	A
USGS	06785000	2011-05-27	3160	A
USGS	06785000	2011-05-28	2530	A
USGS	06785000	2011-05-29	2330	A
USGS	06785000	2011-05-30	2100	A
USGS	06785000	2011-05-31	2230	A
USGS	06785000	2011-06-01	2440	A
USGS	06785000	2011-06-02	1660	A
USGS	06785000	2011-06-03	1630	A
USGS	06785000	2011-06-04	1530	A
USGS	06785000	2011-06-05	1400	A
USGS	06785000	2011-06-06	1310	A
USGS	06785000	2011-06-07	1280	A
USGS	06785000	2011-06-08	1280	A
USGS	06785000	2011-06-09	1260	A
USGS	06785000	2011-06-10	1250	A
USGS	06785000	2011-06-11	1270	A
USGS	06785000	2011-06-12	1100	A
USGS	06785000	2011-06-13	1250	A
USGS	06785000	2011-06-14	1280	A
USGS	06785000	2011-06-15	1210	A
USGS	06785000	2011-06-16	1180	A
USGS	06785000	2011-06-17	1240	A
USGS	06785000	2011-06-18	1270	A
USGS	06785000	2011-06-19	1380	A
USGS	06785000	2011-06-20	1700	A
USGS	06785000	2011-06-21	3250	A
USGS	06785000	2011-06-22	2790	A
USGS	06785000	2011-06-23	2090	A
USGS	06785000	2011-06-24	1690	A
USGS	06785000	2011-06-25	1540	A
USGS	06785000	2011-06-26	1570	A
USGS	06785000	2011-06-27	1270	A
USGS	06785000	2011-06-28	1260	A
USGS	06785000	2011-06-29	1180	A
USGS	06785000	2011-06-30	1220	A
USGS	06785000	2011-07-01	1280	A
USGS	06785000	2011-07-02	1310	A
USGS	06785000	2011-07-03	1370	A
USGS	06785000	2011-07-04	1370	A
USGS	06785000	2011-07-05	1360	A
USGS	06785000	2011-07-06	1380	A
USGS	06785000	2011-07-07	1720	A
USGS	06785000	2011-07-08	2220	A
USGS	06785000	2011-07-09	1610	A
USGS	06785000	2011-07-10	1590	A
USGS	06785000	2011-07-11	1570	A
USGS	06785000	2011-07-12	1430	A
USGS	06785000	2011-07-13	1680	A
USGS	06785000	2011-07-14	2750	A
USGS	06785000	2011-07-15	2320	A
USGS	06785000	2011-07-16	2100	A
USGS	06785000	2011-07-17	1870	A
USGS	06785000	2011-07-18	1580	A
USGS	06785000	2011-07-19	1320	A
USGS	06785000	2011-07-20	1070	A
USGS	06785000	2011-07-21	864	A
USGS	06785000	2011-07-22	759	A
USGS	06785000	2011-07-23	568	A
USGS	06785000	2011-07-24	518	A
USGS	06785000	2011-07-25	505	A
USGS	06785000	2011-07-26	478	A
USGS	06785000	2011-07-27	492	A
USGS	06785000	2011-07-28	794	A
USGS	06785000	2011-07-29	1010	A
USGS	06785000	2011-07-30	712	A
USGS	06785000	2011-07-31	728	A
USGS	06785000	2011-08-01	645	A
USGS	06785000	2011-08-02	596	A
USGS	06785000	2011-08-03	734	A
USGS	06785000	2011-08-04	510	A
USGS	06785000	2011-08-05	478	A
USGS	06785000	2011-08-06	485	A
USGS	06785000	2011-08-07	498	A
USGS	06785000	2011-08-08	545	A
USGS	06785000	2011-08-09	647	A
USGS	06785000	2011-08-10	729	A
USGS	06785000	2011-08-11	705	A
USGS	06785000	2011-08-12	664	A
USGS	06785000	2011-08-13	635	A
USGS	06785000	2011-08-14	686	A
USGS	06785000	2011-08-15	985	A
USGS	06785000	2011-08-16	802	A
USGS	06785000	2011-08-17	918	A
USGS	06785000	2011-08-18	818	A
USGS	06785000	2011-08-19	685	A
USGS	06785000	2011-08-20	531	A
USGS	06785000	2011-08-21	553	A
USGS	06785000	2011-08-22	607	A
USGS	06785000	2011-08-23	893	A
USGS	06785000	2011-08-24	792	A
USGS	06785000	2011-08-25	805	A
USGS	06785000	2011-08-26	792	A
USGS	06785000	2011-08-27	553	A
USGS	06785000	2011-08-28	447	A
USGS	06785000	2011-08-29	492	A
USGS	06785000	2011-08-30	662	A
USGS	06785000	2011-08-31	757	A
USGS	06785000	2011-09-01	562	A
USGS	06785000	2011-09-02	512	A
USGS	06785000	2011-09-03	498	A
USGS	06785000	2011-09-04	509	A
USGS	06785000	2011-09-05	578	A
USGS	06785000	2011-09-06	677	A
USGS	06785000	2011-09-07	617	A
USGS	06785000	2011-09-08	565	A
USGS	06785000	2011-09-09	508	A
USGS	06785000	2011-09-10	445	A
USGS	06785000	2011-09-11	433	A
USGS	06785000	2011-09-12	447	A
USGS	06785000	2011-09-13	474	A
USGS	06785000	2011-09-14	539	A
USGS	06785000	2011-09-15	608	A
USGS	06785000	2011-09-16	730	A
USGS	06785000	2011-09-17	871	A
USGS	06785000	2011-09-18	1010	A
USGS	06785000	2011-09-19	836	A
USGS	06785000	2011-09-20	789	A
USGS	06785000	2011-09-21	827	A
USGS	06785000	2011-09-22	794	A
USGS	06785000	2011-09-23	767	A
USGS	06785000	2011-09-24	813	A
USGS	06785000	2011-09-25	804	A
USGS	06785000	2011-09-26	821	A
USGS	06785000	2011-09-27	871	A
USGS	06785000	2011-09-28	899	A
USGS	06785000	2011-09-29	1190	A
USGS	06785000	2011-09-30	1430	A
USGS	06785000	2011-10-01	1280	A
USGS	06785000	2011-10-02	1240	A
USGS	06785000	2011-10-03	1250	A
USGS	06785000	2011-10-04	1220	A
USGS	06785000	2011-10-05	1190	A
USGS	06785000	2011-10-06	1230	A
USGS	06785000	2011-10-07	1460	A
USGS	06785000	2011-10-08	2390	A
USGS	06785000	2011-10-09	2850	A
USGS	06785000	2011-10-10	2980	A
USGS	06785000	2011-10-11	2190	A
USGS	06785000	2011-10-12	1790	A
USGS	06785000	2011-10-13	1660	A
USGS	06785000	2011-10-14	1460	A
USGS	06785000	2011-10-15	1290	A
USGS	06785000	2011-10-16	1030	A
USGS	06785000	2011-10-17	1070	A
USGS	06785000	2011-10-18	1070	A
USGS	06785000	2011-10-19	901	A
USGS	06785000	2011-10-20	712	A
USGS	06785000	2011-10-21	589	A
USGS	06785000	2011-10-22	737	A
USGS	06785000	2011-10-23	934	A
USGS	06785000	2011-10-24	1240	A
USGS	06785000	2011-10-25	1550	A
USGS	06785000	2011-10-26	1420	A
USGS	06785000	2011-10-27	1270	A
USGS	06785000	2011-10-28	1480	A
USGS	06785000	2011-10-29	1460	A
USGS	06785000	2011-10-30	1290	A
USGS	06785000	2011-10-31	1320	A
USGS	06785000	2011-11-01	1210	A
USGS	06785000	2011-11-02	1280	A
USGS	06785000	2011-11-03	1440	A
USGS	06785000	2011-11-04	1300	A
USGS	06785000	2011-11-05	1140	A
USGS	06785000	2011-11-06	1140	A
USGS	06785000	2011-11-07	1220	A
USGS	06785000	2011-11-08	1200	A
USGS	06785000	2011-11-09	1140	A
USGS	06785000	2011-11-10	1050	A
USGS	06785000	2011-11-11	1530	A
USGS	06785000	2011-11-12	1660	A
USGS	06785000	2011-11-13	1860	A
USGS	06785000	2011-11-14	1950	A
USGS	06785000	2011-11-15	1920	A
USGS	06785000	2011-11-16	1520	A
USGS	06785000	2011-11-17	1250	A
USGS	06785000	2011-11-18	1360	A
USGS	06785000	2011-11-19	1380	A
USGS	06785000	2011-11-20	1300	A:e
USGS	06785000	2011-11-21	1270	A:e
USGS	06785000	2011-11-22	1390	A:e
USGS	06785000	2011-11-23	1500	A:e
USGS	06785000	2011-11-24	1630	A:e
USGS	06785000	2011-11-25	1680	A:e
USGS	06785000	2011-11-26	1620	A:e
USGS	06785000	2011-11-27	1530	A:e
USGS	06785000	2011-11-28	1400	A:e
USGS	06785000	2011-11-29	1490	A
USGS	06785000	2011-11-30	1480	A
USGS	06785000	2011-12-01	1400	A:e
USGS	06785000	2011-12-02	1210	A:e
USGS	06785000	2011-12-03	1180	A:e
USGS	06785000	2011-12-04	1230	A:e
USGS	06785000	2011-12-05	1100	A:e
USGS	06785000	2011-12-06	1020	A:e
USGS	06785000	2011-12-07	990	A:e
USGS	06785000	2011-12-08	1240	A:e
USGS	06785000	2011-12-09	1230	A:e
USGS	06785000	2011-12-10	1150	A:e
USGS	06785000	2011-12-11	1310	A:e
USGS	06785000	2011-12-12	1370	A:e
USGS	06785000	2011-12-13	1360	A:e
USGS	06785000	2011-12-14	1400	A:e
USGS	06785000	2011-12-15	1500	A:e
USGS	06785000	2011-12-16	1400	A:e
USGS	06785000	2011-12-17	1410	A:e
USGS	06785000	2011-12-18	1490	A:e
USGS	06785000	2011-12-19	1560	A:e
USGS	06785000	2011-12-20	1490	A:e
USGS	06785000	2011-12-21	1400	A:e
USGS	06785000	2011-12-22	1500	A:e
USGS	06785000	2011-12-23	1380	A:e
USGS	06785000	2011-12-24	1400	A:e
USGS	06785000	2011-12-25	1530	A:e
USGS	06785000	2011-12-26	1600	A:e
USGS	06785000	2011-12-27	1670	A:e
USGS	06785000	2011-12-28	1590	A:e
USGS	06785000	2011-12-29	1610	A:e
USGS	06785000	2011-12-30	1670	A:e
USGS	06785000	2011-12-31	1600	A:e
USGS	06785000	2012-01-01	1560	A
USGS	06785000	2012-01-02	1350	A
USGS	06785000	2012-01-03	1380	A
USGS	06785000	2012-01-04	1470	A
USGS	06785000	2012-01-05	1570	A
USGS	06785000	2012-01-06	1250	A
USGS	06785000	2012-01-07	1300	A:e
USGS	06785000	2012-01-08	1300	A:e
USGS	06785000	2012-01-09	1370	A:e
USGS	06785000	2012-01-10	1410	A:e
USGS	06785000	2012-01-11	1470	A:e
