# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ne/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-03-11 17:58:21 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06764880 South Platte River at Roscoe, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06764880
#    DD parameter statistic   Description
#    07   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	07_00060_00003	07_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06764880	2013-01-01	32	A:e
USGS	06764880	2013-01-02	36	A:e
USGS	06764880	2013-01-03	41	A:e
USGS	06764880	2013-01-04	42	A:e
USGS	06764880	2013-01-05	48	A:e
USGS	06764880	2013-01-06	62	A:e
USGS	06764880	2013-01-07	76	A:e
USGS	06764880	2013-01-08	83	A:e
USGS	06764880	2013-01-09	97	A:e
USGS	06764880	2013-01-10	105	A:e
USGS	06764880	2013-01-11	109	A:e
USGS	06764880	2013-01-12	102	A:e
USGS	06764880	2013-01-13	99	A:e
USGS	06764880	2013-01-14	102	A:e
USGS	06764880	2013-01-15	108	A:e
USGS	06764880	2013-01-16	113	A:e
USGS	06764880	2013-01-17	114	A:e
USGS	06764880	2013-01-18	114	A:e
USGS	06764880	2013-01-19	112	A:e
USGS	06764880	2013-01-20	108	A:e
USGS	06764880	2013-01-21	106	A:e
USGS	06764880	2013-01-22	107	A:e
USGS	06764880	2013-01-23	107	A:e
USGS	06764880	2013-01-24	104	A:e
USGS	06764880	2013-01-25	111	A:e
USGS	06764880	2013-01-26	115	A:e
USGS	06764880	2013-01-27	124	A:e
USGS	06764880	2013-01-28	128	A:e
USGS	06764880	2013-01-29	125	A:e
USGS	06764880	2013-01-30	120	A:e
USGS	06764880	2013-01-31	116	A:e
USGS	06764880	2013-02-01	117	A:e
USGS	06764880	2013-02-02	117	A:e
USGS	06764880	2013-02-03	120	A:e
USGS	06764880	2013-02-04	121	A:e
USGS	06764880	2013-02-05	123	A:e
USGS	06764880	2013-02-06	130	A
USGS	06764880	2013-02-07	121	A
USGS	06764880	2013-02-08	111	A
USGS	06764880	2013-02-09	103	A
USGS	06764880	2013-02-10	86	A
USGS	06764880	2013-02-11	58	A
USGS	06764880	2013-02-12	62	A
USGS	06764880	2013-02-13	74	A
USGS	06764880	2013-02-14	98	A
USGS	06764880	2013-02-15	89	A
USGS	06764880	2013-02-16	84	A
USGS	06764880	2013-02-17	88	A
USGS	06764880	2013-02-18	71	A
USGS	06764880	2013-02-19	62	A
USGS	06764880	2013-02-20	59	A:e
USGS	06764880	2013-02-21	49	A:e
USGS	06764880	2013-02-22	38	A:e
USGS	06764880	2013-02-23	23	A:e
USGS	06764880	2013-02-24	45	A:e
USGS	06764880	2013-02-25	61	A:e
USGS	06764880	2013-02-26	66	A:e
USGS	06764880	2013-02-27	83	A:e
USGS	06764880	2013-02-28	100	A:e
USGS	06764880	2013-03-01	94	A:e
