# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ne/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-03-11 17:58:26 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06770500 Platte River near Grand Island, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06770500
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06770500	2013-01-01	252	A:e
USGS	06770500	2013-01-02	260	A:e
USGS	06770500	2013-01-03	302	A:e
USGS	06770500	2013-01-04	357	A:e
USGS	06770500	2013-01-05	405	A:e
USGS	06770500	2013-01-06	428	A:e
USGS	06770500	2013-01-07	444	A:e
USGS	06770500	2013-01-08	452	A:e
USGS	06770500	2013-01-09	452	A:e
USGS	06770500	2013-01-10	450	A:e
USGS	06770500	2013-01-11	382	A:e
USGS	06770500	2013-01-12	456	A:e
USGS	06770500	2013-01-13	465	A:e
USGS	06770500	2013-01-14	478	A:e
USGS	06770500	2013-01-15	513	A:e
USGS	06770500	2013-01-16	619	A:e
USGS	06770500	2013-01-17	787	A:e
USGS	06770500	2013-01-18	932	A:e
USGS	06770500	2013-01-19	1080	A:e
USGS	06770500	2013-01-20	1120	A:e
USGS	06770500	2013-01-21	1100	A:e
USGS	06770500	2013-01-22	1110	A:e
USGS	06770500	2013-01-23	1020	A:e
USGS	06770500	2013-01-24	951	A:e
USGS	06770500	2013-01-25	1070	A:e
USGS	06770500	2013-01-26	1090	A:e
USGS	06770500	2013-01-27	1200	A:e
USGS	06770500	2013-01-28	1160	A:e
USGS	06770500	2013-01-29	833	A:e
USGS	06770500	2013-01-30	877	A:e
USGS	06770500	2013-01-31	796	A:e
USGS	06770500	2013-02-01	862	A:e
USGS	06770500	2013-02-02	979	A:e
USGS	06770500	2013-02-03	1060	A:e
USGS	06770500	2013-02-04	1100	A:e
USGS	06770500	2013-02-05	1130	A:e
USGS	06770500	2013-02-06	1180	A:e
USGS	06770500	2013-02-07	1280	A:e
USGS	06770500	2013-02-08	1390	A:e
USGS	06770500	2013-02-09	1210	A
USGS	06770500	2013-02-10	1080	A
USGS	06770500	2013-02-11	1040	A
USGS	06770500	2013-02-12	1070	A
USGS	06770500	2013-02-13	1040	A
USGS	06770500	2013-02-14	986	A
USGS	06770500	2013-02-15	1040	A
USGS	06770500	2013-02-16	1140	A
USGS	06770500	2013-02-17	991	A
USGS	06770500	2013-02-18	981	A
USGS	06770500	2013-02-19	839	A
USGS	06770500	2013-02-20	849	A
USGS	06770500	2013-02-21	340	A
USGS	06770500	2013-02-22	253	A
USGS	06770500	2013-02-23	143	A
USGS	06770500	2013-02-24	640	A
USGS	06770500	2013-02-25	937	A
USGS	06770500	2013-02-26	1060	A
USGS	06770500	2013-02-27	1350	A
USGS	06770500	2013-02-28	1480	A
USGS	06770500	2013-03-01	1500	A
USGS	06770500	2013-03-02	1350	A
USGS	06770500	2013-03-03	1370	A
USGS	06770500	2013-03-04	1160	A
USGS	06770500	2013-03-05	1130	A
USGS	06770500	2013-03-06	1100	A
USGS	06770500	2013-03-07	1130	A
USGS	06770500	2013-03-08	1050	A
USGS	06770500	2013-03-09	1100	A
USGS	06770500	2013-03-10	1080	A
USGS	06770500	2013-03-11	915	A
USGS	06770500	2013-03-12	746	A
USGS	06770500	2013-03-13	867	A
USGS	06770500	2013-03-14	888	A
USGS	06770500	2013-03-15	1020	A
USGS	06770500	2013-03-16	894	A
USGS	06770500	2013-03-17	1040	A
USGS	06770500	2013-03-18	912	A
USGS	06770500	2013-03-19	936	A
USGS	06770500	2013-03-20	725	A
USGS	06770500	2013-03-21	589	A
USGS	06770500	2013-03-22	522	A
USGS	06770500	2013-03-23	475	A
USGS	06770500	2013-03-24	445	A
USGS	06770500	2013-03-25	482	A
USGS	06770500	2013-03-26	787	A
USGS	06770500	2013-03-27	1240	A
USGS	06770500	2013-03-28	1410	A
USGS	06770500	2013-03-29	829	A
USGS	06770500	2013-03-30	713	A
USGS	06770500	2013-03-31	624	A
USGS	06770500	2013-04-01	544	A
USGS	06770500	2013-04-02	486	A
USGS	06770500	2013-04-03	477	A
USGS	06770500	2013-04-04	763	A
USGS	06770500	2013-04-05	1340	A
USGS	06770500	2013-04-06	1350	A
USGS	06770500	2013-04-07	794	A
USGS	06770500	2013-04-08	773	A
USGS	06770500	2013-04-09	1250	A
USGS	06770500	2013-04-10	2320	A
USGS	06770500	2013-04-11	2120	A
USGS	06770500	2013-04-12	1430	A
USGS	06770500	2013-04-13	2250	A
USGS	06770500	2013-04-14	3530	A
USGS	06770500	2013-04-15	3790	A
USGS	06770500	2013-04-16	3320	A
USGS	06770500	2013-04-17	2420	A
USGS	06770500	2013-04-18	2100	A
USGS	06770500	2013-04-19	1950	A
USGS	06770500	2013-04-20	2270	A
USGS	06770500	2013-04-21	2350	A
USGS	06770500	2013-04-22	2550	A
USGS	06770500	2013-04-23	2850	A
USGS	06770500	2013-04-24	2550	A
USGS	06770500	2013-04-25	2390	A
USGS	06770500	2013-04-26	2070	A
USGS	06770500	2013-04-27	1170	A
USGS	06770500	2013-04-28	1020	A
USGS	06770500	2013-04-29	1350	A
USGS	06770500	2013-04-30	1900	A
USGS	06770500	2013-05-01	2030	A
USGS	06770500	2013-05-02	1220	A
USGS	06770500	2013-05-03	883	A
USGS	06770500	2013-05-04	1020	A
USGS	06770500	2013-05-05	890	A
USGS	06770500	2013-05-06	931	A
USGS	06770500	2013-05-07	781	A
USGS	06770500	2013-05-08	812	A
USGS	06770500	2013-05-09	695	A
USGS	06770500	2013-05-10	596	A
USGS	06770500	2013-05-11	548	A
USGS	06770500	2013-05-12	487	A
USGS	06770500	2013-05-13	466	A
USGS	06770500	2013-05-14	469	A
USGS	06770500	2013-05-15	440	A
USGS	06770500	2013-05-16	439	A
USGS	06770500	2013-05-17	439	A
USGS	06770500	2013-05-18	400	A
USGS	06770500	2013-05-19	437	A
USGS	06770500	2013-05-20	396	A
USGS	06770500	2013-05-21	300	A
USGS	06770500	2013-05-22	261	A
USGS	06770500	2013-05-23	248	A
USGS	06770500	2013-05-24	243	A
USGS	06770500	2013-05-25	708	A
USGS	06770500	2013-05-26	618	A
USGS	06770500	2013-05-27	544	A
USGS	06770500	2013-05-28	622	A
USGS	06770500	2013-05-29	525	A
USGS	06770500	2013-05-30	983	A
USGS	06770500	2013-05-31	1030	A
USGS	06770500	2013-06-01	823	A
USGS	06770500	2013-06-02	766	A
USGS	06770500	2013-06-03	761	A
USGS	06770500	2013-06-04	690	A
USGS	06770500	2013-06-05	570	A
USGS	06770500	2013-06-06	584	A
USGS	06770500	2013-06-07	611	A
USGS	06770500	2013-06-08	627	A
USGS	06770500	2013-06-09	498	A
USGS	06770500	2013-06-10	406	A
USGS	06770500	2013-06-11	361	A
USGS	06770500	2013-06-12	289	A
USGS	06770500	2013-06-13	255	A
USGS	06770500	2013-06-14	268	A
USGS	06770500	2013-06-15	275	A
USGS	06770500	2013-06-16	242	A
USGS	06770500	2013-06-17	236	A
USGS	06770500	2013-06-18	235	A
USGS	06770500	2013-06-19	220	A
USGS	06770500	2013-06-20	213	A
USGS	06770500	2013-06-21	201	A
USGS	06770500	2013-06-22	205	A
USGS	06770500	2013-06-23	243	A
USGS	06770500	2013-06-24	284	A
USGS	06770500	2013-06-25	270	A
USGS	06770500	2013-06-26	224	A
USGS	06770500	2013-06-27	213	A
USGS	06770500	2013-06-28	165	A
USGS	06770500	2013-06-29	137	A
USGS	06770500	2013-06-30	115	A
USGS	06770500	2013-07-01	92	A
USGS	06770500	2013-07-02	83	A
USGS	06770500	2013-07-03	88	A
USGS	06770500	2013-07-04	76	A
USGS	06770500	2013-07-05	65	A
USGS	06770500	2013-07-06	55	A
USGS	06770500	2013-07-07	38	A
USGS	06770500	2013-07-08	27	A
USGS	06770500	2013-07-09	24	A
USGS	06770500	2013-07-10	20	A
USGS	06770500	2013-07-11	15	A
USGS	06770500	2013-07-12	8.8	A
USGS	06770500	2013-07-13	22	A
USGS	06770500	2013-07-14	42	A
USGS	06770500	2013-07-15	40	A
USGS	06770500	2013-07-16	25	A
USGS	06770500	2013-07-17	14	A
USGS	06770500	2013-07-18	2.7	A
USGS	06770500	2013-07-19	2.3	A
USGS	06770500	2013-07-20	0.51	A
USGS	06770500	2013-07-21	0.01	A
USGS	06770500	2013-07-22	0.00	A
USGS	06770500	2013-07-23	0.94	A
USGS	06770500	2013-07-24	0.00	A
USGS	06770500	2013-07-25	0.00	A
USGS	06770500	2013-07-26	0.00	A
USGS	06770500	2013-07-27	0.00	A
USGS	06770500	2013-07-28	0.00	A
USGS	06770500	2013-07-29	1.1	A
USGS	06770500	2013-07-30	30	A
USGS	06770500	2013-07-31	35	A
USGS	06770500	2013-08-01	44	A
USGS	06770500	2013-08-02	168	A
USGS	06770500	2013-08-03	149	A
USGS	06770500	2013-08-04	140	A
USGS	06770500	2013-08-05	420	A
USGS	06770500	2013-08-06	659	A
USGS	06770500	2013-08-07	754	A
USGS	06770500	2013-08-08	517	A
USGS	06770500	2013-08-09	393	A
USGS	06770500	2013-08-10	298	A
USGS	06770500	2013-08-11	250	A
USGS	06770500	2013-08-12	272	A
USGS	06770500	2013-08-13	297	A
USGS	06770500	2013-08-14	236	A
USGS	06770500	2013-08-15	203	A
USGS	06770500	2013-08-16	195	A
USGS	06770500	2013-08-17	182	A
USGS	06770500	2013-08-18	145	A
USGS	06770500	2013-08-19	107	A
USGS	06770500	2013-08-20	80	A
USGS	06770500	2013-08-21	60	A
USGS	06770500	2013-08-22	107	A
USGS	06770500	2013-08-23	74	A
USGS	06770500	2013-08-24	50	A
USGS	06770500	2013-08-25	42	A
USGS	06770500	2013-08-26	36	A
USGS	06770500	2013-08-27	32	A
USGS	06770500	2013-08-28	29	A
USGS	06770500	2013-08-29	28	A
USGS	06770500	2013-08-30	24	A
USGS	06770500	2013-08-31	20	A
USGS	06770500	2013-09-01	14	A
USGS	06770500	2013-09-02	7.8	A
USGS	06770500	2013-09-03	0.61	A
USGS	06770500	2013-09-04	1.4	A
USGS	06770500	2013-09-05	0.00	A
USGS	06770500	2013-09-06	0.00	A
USGS	06770500	2013-09-07	0.00	A
USGS	06770500	2013-09-08	0.00	A
USGS	06770500	2013-09-09	0.00	A
USGS	06770500	2013-09-10	0.00	A
USGS	06770500	2013-09-11	0.00	A
USGS	06770500	2013-09-12	16	A
USGS	06770500	2013-09-13	27	A
USGS	06770500	2013-09-14	28	A
USGS	06770500	2013-09-15	33	A
USGS	06770500	2013-09-16	29	A
USGS	06770500	2013-09-17	32	A
USGS	06770500	2013-09-18	30	A
USGS	06770500	2013-09-19	22	A
USGS	06770500	2013-09-20	22	A
USGS	06770500	2013-09-21	19	A
USGS	06770500	2013-09-22	14	A
USGS	06770500	2013-09-23	29	A
USGS	06770500	2013-09-24	65	A
USGS	06770500	2013-09-25	272	A
USGS	06770500	2013-09-26	1670	A
USGS	06770500	2013-09-27	4950	A
USGS	06770500	2013-09-28	7890	A
USGS	06770500	2013-09-29	9530	A
USGS	06770500	2013-09-30	9140	A
USGS	06770500	2013-10-01	8730	A
USGS	06770500	2013-10-02	8670	A
USGS	06770500	2013-10-03	10100	A
USGS	06770500	2013-10-04	8620	A
USGS	06770500	2013-10-05	6280	A
USGS	06770500	2013-10-06	5120	A
USGS	06770500	2013-10-07	4170	A
USGS	06770500	2013-10-08	3610	A
USGS	06770500	2013-10-09	3260	A
USGS	06770500	2013-10-10	3050	A
USGS	06770500	2013-10-11	2880	A
USGS	06770500	2013-10-12	2600	A
USGS	06770500	2013-10-13	2400	A
USGS	06770500	2013-10-14	2590	A
USGS	06770500	2013-10-15	2880	A
USGS	06770500	2013-10-16	2800	A
USGS	06770500	2013-10-17	2680	A
USGS	06770500	2013-10-18	2490	A
USGS	06770500	2013-10-19	2430	A
USGS	06770500	2013-10-20	2460	A
USGS	06770500	2013-10-21	2380	A
USGS	06770500	2013-10-22	2250	A
USGS	06770500	2013-10-23	1940	A
USGS	06770500	2013-10-24	1780	A
USGS	06770500	2013-10-25	1670	A
USGS	06770500	2013-10-26	1610	A
USGS	06770500	2013-10-27	1520	A
USGS	06770500	2013-10-28	1450	A
USGS	06770500	2013-10-29	1400	A
USGS	06770500	2013-10-30	1310	A
USGS	06770500	2013-10-31	845	A
USGS	06770500	2013-11-01	573	A
USGS	06770500	2013-11-02	448	A
USGS	06770500	2013-11-03	390	A
USGS	06770500	2013-11-04	383	A
USGS	06770500	2013-11-05	843	A
USGS	06770500	2013-11-06	1490	A
USGS	06770500	2013-11-07	1910	A
USGS	06770500	2013-11-08	1560	A
USGS	06770500	2013-11-09	931	A
USGS	06770500	2013-11-10	731	A
USGS	06770500	2013-11-11	601	A
USGS	06770500	2013-11-12	462	A
USGS	06770500	2013-11-13	762	A
USGS	06770500	2013-11-14	1460	A
USGS	06770500	2013-11-15	1490	A
USGS	06770500	2013-11-16	1330	A
USGS	06770500	2013-11-17	1180	A
USGS	06770500	2013-11-18	1100	A
USGS	06770500	2013-11-19	1170	A
USGS	06770500	2013-11-20	810	A
USGS	06770500	2013-11-21	1020	A
USGS	06770500	2013-11-22	772	A
USGS	06770500	2013-11-23	941	A
USGS	06770500	2013-11-24	1100	A
USGS	06770500	2013-11-25	945	A
USGS	06770500	2013-11-26	1030	A
USGS	06770500	2013-11-27	1360	A
USGS	06770500	2013-11-28	1400	A
USGS	06770500	2013-11-29	1200	A
USGS	06770500	2013-11-30	857	A
USGS	06770500	2013-12-01	912	A
USGS	06770500	2013-12-02	1160	P
USGS	06770500	2013-12-03	1090	P
USGS	06770500	2013-12-04	Ice	P
USGS	06770500	2013-12-05	Ice	P
USGS	06770500	2013-12-06	Ice	P
USGS	06770500	2013-12-07	Ice	P
USGS	06770500	2013-12-08	Ice	P
USGS	06770500	2013-12-09	Ice	P
USGS	06770500	2013-12-10	Ice	P
USGS	06770500	2013-12-11	Ice	P
USGS	06770500	2013-12-12	Ice	P
USGS	06770500	2013-12-13	Ice	P
USGS	06770500	2013-12-14	Ice	P
USGS	06770500	2013-12-15	Ice	P
USGS	06770500	2013-12-16	Ice	P
USGS	06770500	2013-12-17	Ice	P
USGS	06770500	2013-12-18	Ice	P
USGS	06770500	2013-12-19	Ice	P
USGS	06770500	2013-12-20	Ice	P
USGS	06770500	2013-12-21	Ice	P
USGS	06770500	2013-12-22	Ice	P
USGS	06770500	2013-12-23	Ice	P
USGS	06770500	2013-12-24	Ice	P
USGS	06770500	2013-12-25	Ice	P
USGS	06770500	2013-12-26	Ice	P
USGS	06770500	2013-12-27	Ice	P
USGS	06770500	2013-12-28	Ice	P
USGS	06770500	2013-12-29	Ice	P
USGS	06770500	2013-12-30	Ice	P
USGS	06770500	2013-12-31	Ice	P
