# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ne/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-03-11 17:58:22 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06775500 Middle Loup River at Dunning, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06775500
#    DD parameter statistic   Description
#    08   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	08_00060_00003	08_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06775500	2013-01-01	512	A:e
USGS	06775500	2013-01-02	511	A:e
USGS	06775500	2013-01-03	511	A:e
USGS	06775500	2013-01-04	510	A:e
USGS	06775500	2013-01-05	511	A:e
USGS	06775500	2013-01-06	511	A:e
USGS	06775500	2013-01-07	509	A:e
USGS	06775500	2013-01-08	505	A:e
USGS	06775500	2013-01-09	510	A:e
USGS	06775500	2013-01-10	516	A:e
USGS	06775500	2013-01-11	518	A:e
USGS	06775500	2013-01-12	513	A:e
USGS	06775500	2013-01-13	493	A:e
USGS	06775500	2013-01-14	495	A:e
USGS	06775500	2013-01-15	496	A:e
USGS	06775500	2013-01-16	508	A
USGS	06775500	2013-01-17	496	A
USGS	06775500	2013-01-18	513	A
USGS	06775500	2013-01-19	495	A
USGS	06775500	2013-01-20	512	A
USGS	06775500	2013-01-21	511	A
USGS	06775500	2013-01-22	522	A
USGS	06775500	2013-01-23	502	A
USGS	06775500	2013-01-24	491	A
USGS	06775500	2013-01-25	514	A
USGS	06775500	2013-01-26	520	A
USGS	06775500	2013-01-27	548	A
USGS	06775500	2013-01-28	569	A
USGS	06775500	2013-01-29	563	A
USGS	06775500	2013-01-30	539	A
USGS	06775500	2013-01-31	528	A
USGS	06775500	2013-02-01	503	A
USGS	06775500	2013-02-02	504	A
USGS	06775500	2013-02-03	526	A
USGS	06775500	2013-02-04	534	A
USGS	06775500	2013-02-05	536	A
USGS	06775500	2013-02-06	544	A
USGS	06775500	2013-02-07	557	A
USGS	06775500	2013-02-08	550	A
USGS	06775500	2013-02-09	551	A
USGS	06775500	2013-02-10	582	A
USGS	06775500	2013-02-11	528	A
USGS	06775500	2013-02-12	518	A
USGS	06775500	2013-02-13	520	A
USGS	06775500	2013-02-14	530	A
USGS	06775500	2013-02-15	517	A
USGS	06775500	2013-02-16	518	A
USGS	06775500	2013-02-17	526	A
USGS	06775500	2013-02-18	545	A
USGS	06775500	2013-02-19	525	A
USGS	06775500	2013-02-20	533	A
USGS	06775500	2013-02-21	548	A
USGS	06775500	2013-02-22	516	A
USGS	06775500	2013-02-23	520	A
USGS	06775500	2013-02-24	547	A
USGS	06775500	2013-02-25	561	A
USGS	06775500	2013-02-26	565	A
USGS	06775500	2013-02-27	576	A
USGS	06775500	2013-02-28	556	A
USGS	06775500	2013-03-01	549	A
USGS	06775500	2013-03-02	551	A
USGS	06775500	2013-03-03	567	A
USGS	06775500	2013-03-04	582	A
USGS	06775500	2013-03-05	544	A
USGS	06775500	2013-03-06	524	A
USGS	06775500	2013-03-07	538	A
USGS	06775500	2013-03-08	561	A
USGS	06775500	2013-03-09	610	A
USGS	06775500	2013-03-10	585	A
USGS	06775500	2013-03-11	553	A
USGS	06775500	2013-03-12	550	A
USGS	06775500	2013-03-13	545	A
USGS	06775500	2013-03-14	569	A
USGS	06775500	2013-03-15	603	A
USGS	06775500	2013-03-16	608	A
USGS	06775500	2013-03-17	581	A
USGS	06775500	2013-03-18	585	A
USGS	06775500	2013-03-19	580	A
USGS	06775500	2013-03-20	564	A
USGS	06775500	2013-03-21	559	A
USGS	06775500	2013-03-22	568	A
USGS	06775500	2013-03-23	562	A
USGS	06775500	2013-03-24	544	A
USGS	06775500	2013-03-25	516	A
USGS	06775500	2013-03-26	514	A
USGS	06775500	2013-03-27	539	A
USGS	06775500	2013-03-28	564	A
USGS	06775500	2013-03-29	580	A
USGS	06775500	2013-03-30	580	A
USGS	06775500	2013-03-31	575	A
USGS	06775500	2013-04-01	570	A
USGS	06775500	2013-04-02	566	A
USGS	06775500	2013-04-03	565	A
USGS	06775500	2013-04-04	566	A
USGS	06775500	2013-04-05	570	A
USGS	06775500	2013-04-06	567	A
USGS	06775500	2013-04-07	570	A
USGS	06775500	2013-04-08	574	A
USGS	06775500	2013-04-09	600	A
USGS	06775500	2013-04-10	515	A
USGS	06775500	2013-04-11	477	A
