# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ne/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-03-11 17:58:23 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06785000 Middle Loup River at Saint Paul, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06785000
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06785000	2013-01-01	1240	A:e
USGS	06785000	2013-01-02	1330	A:e
USGS	06785000	2013-01-03	1240	A:e
USGS	06785000	2013-01-04	1150	A:e
USGS	06785000	2013-01-05	1190	A:e
USGS	06785000	2013-01-06	1160	A:e
USGS	06785000	2013-01-07	1160	A:e
USGS	06785000	2013-01-08	1100	A:e
USGS	06785000	2013-01-09	1130	A:e
USGS	06785000	2013-01-10	1120	A:e
USGS	06785000	2013-01-11	998	A:e
USGS	06785000	2013-01-12	630	A:e
USGS	06785000	2013-01-13	536	A:e
USGS	06785000	2013-01-14	544	A:e
USGS	06785000	2013-01-15	600	A:e
USGS	06785000	2013-01-16	655	A:e
USGS	06785000	2013-01-17	849	A
USGS	06785000	2013-01-18	997	A:e
USGS	06785000	2013-01-19	1120	A:e
USGS	06785000	2013-01-20	901	A:e
USGS	06785000	2013-01-21	894	A:e
USGS	06785000	2013-01-22	1050	A:e
USGS	06785000	2013-01-23	1160	A:e
USGS	06785000	2013-01-24	1050	A:e
USGS	06785000	2013-01-25	1350	A:e
USGS	06785000	2013-01-26	1430	A:e
USGS	06785000	2013-01-27	1450	A:e
USGS	06785000	2013-01-28	1310	A:e
USGS	06785000	2013-01-29	1280	A:e
USGS	06785000	2013-01-30	1090	A:e
USGS	06785000	2013-01-31	937	A:e
USGS	06785000	2013-02-01	1190	A:e
USGS	06785000	2013-02-02	1380	A:e
USGS	06785000	2013-02-03	1290	A:e
USGS	06785000	2013-02-04	1290	A:e
USGS	06785000	2013-02-05	1340	A:e
USGS	06785000	2013-02-06	1420	A:e
USGS	06785000	2013-02-07	1310	A:e
USGS	06785000	2013-02-08	1200	A:e
USGS	06785000	2013-02-09	1270	A
USGS	06785000	2013-02-10	1580	A
USGS	06785000	2013-02-11	1600	A
USGS	06785000	2013-02-12	1430	A
USGS	06785000	2013-02-13	1270	A
USGS	06785000	2013-02-14	1290	A
USGS	06785000	2013-02-15	1140	A
USGS	06785000	2013-02-16	1220	A
USGS	06785000	2013-02-17	1190	A
USGS	06785000	2013-02-18	1020	A
USGS	06785000	2013-02-19	1100	A
USGS	06785000	2013-02-20	1100	A
USGS	06785000	2013-02-21	932	A
USGS	06785000	2013-02-22	400	A:e
USGS	06785000	2013-02-23	777	A:e
USGS	06785000	2013-02-24	1130	A:e
USGS	06785000	2013-02-25	1450	A:e
USGS	06785000	2013-02-26	1630	A:e
