# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ne/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-03-11 17:58:26 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06796000 Platte River at North Bend, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06796000
#    DD parameter statistic   Description
#    07   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	07_00060_00003	07_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06796000	2013-01-01	1180	A:e
USGS	06796000	2013-01-02	1290	A:e
USGS	06796000	2013-01-03	1500	A:e
USGS	06796000	2013-01-04	1660	A:e
USGS	06796000	2013-01-05	1970	A:e
USGS	06796000	2013-01-06	2270	A:e
USGS	06796000	2013-01-07	2700	A:e
USGS	06796000	2013-01-08	3160	A:e
USGS	06796000	2013-01-09	3650	A:e
USGS	06796000	2013-01-10	3970	A:e
USGS	06796000	2013-01-11	3950	A:e
USGS	06796000	2013-01-12	3790	A:e
USGS	06796000	2013-01-13	3700	A:e
USGS	06796000	2013-01-14	3670	A:e
USGS	06796000	2013-01-15	3670	A:e
USGS	06796000	2013-01-16	3670	A:e
USGS	06796000	2013-01-17	3650	A:e
USGS	06796000	2013-01-18	3620	A:e
USGS	06796000	2013-01-19	3240	A:e
USGS	06796000	2013-01-20	2850	A:e
USGS	06796000	2013-01-21	2560	A:e
USGS	06796000	2013-01-22	2410	A:e
USGS	06796000	2013-01-23	2400	A:e
USGS	06796000	2013-01-24	2430	A:e
USGS	06796000	2013-01-25	2620	A:e
USGS	06796000	2013-01-26	2780	A:e
USGS	06796000	2013-01-27	3060	A:e
USGS	06796000	2013-01-28	3380	A:e
USGS	06796000	2013-01-29	3470	A:e
USGS	06796000	2013-01-30	3000	A:e
USGS	06796000	2013-01-31	2700	A:e
USGS	06796000	2013-02-01	2560	A:e
USGS	06796000	2013-02-02	2480	A:e
USGS	06796000	2013-02-03	2690	A:e
USGS	06796000	2013-02-04	3140	A:e
USGS	06796000	2013-02-05	4110	A:e
USGS	06796000	2013-02-06	4440	A:e
USGS	06796000	2013-02-07	4410	A:e
USGS	06796000	2013-02-08	5260	A:e
USGS	06796000	2013-02-09	7150	A:e
USGS	06796000	2013-02-10	7940	A:e
USGS	06796000	2013-02-11	6750	A:e
