# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ne/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-03-11 17:58:27 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06805500 Platte River at Louisville, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06805500
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06805500	2013-01-01	1780	A:e
USGS	06805500	2013-01-02	1870	A:e
USGS	06805500	2013-01-03	2020	A:e
USGS	06805500	2013-01-04	2220	A:e
USGS	06805500	2013-01-05	2460	A:e
USGS	06805500	2013-01-06	2770	A:e
USGS	06805500	2013-01-07	3130	A:e
USGS	06805500	2013-01-08	3490	A:e
USGS	06805500	2013-01-09	3910	A:e
USGS	06805500	2013-01-10	4330	A:e
USGS	06805500	2013-01-11	4840	A:e
USGS	06805500	2013-01-12	4690	A:e
USGS	06805500	2013-01-13	4500	A:e
USGS	06805500	2013-01-14	4350	A:e
USGS	06805500	2013-01-15	4290	A:e
USGS	06805500	2013-01-16	4320	A:e
USGS	06805500	2013-01-17	4270	A:e
USGS	06805500	2013-01-18	4320	A:e
USGS	06805500	2013-01-19	4350	A:e
USGS	06805500	2013-01-20	3890	A:e
USGS	06805500	2013-01-21	3360	A:e
USGS	06805500	2013-01-22	3000	A:e
USGS	06805500	2013-01-23	3060	A:e
USGS	06805500	2013-01-24	2950	A:e
USGS	06805500	2013-01-25	3100	A:e
USGS	06805500	2013-01-26	3500	A:e
USGS	06805500	2013-01-27	3540	A:e
USGS	06805500	2013-01-28	3820	A:e
USGS	06805500	2013-01-29	4360	A:e
USGS	06805500	2013-01-30	4210	A:e
USGS	06805500	2013-01-31	3590	A:e
USGS	06805500	2013-02-01	3280	A:e
USGS	06805500	2013-02-02	3150	A:e
USGS	06805500	2013-02-03	3150	A:e
USGS	06805500	2013-02-04	3320	A:e
USGS	06805500	2013-02-05	4180	A:e
USGS	06805500	2013-02-06	5160	A:e
USGS	06805500	2013-02-07	5420	A:e
USGS	06805500	2013-02-08	5260	A:e
USGS	06805500	2013-02-09	6320	A:e
USGS	06805500	2013-02-10	8660	A:e
USGS	06805500	2013-02-11	9420	A:e
USGS	06805500	2013-02-12	7470	A
USGS	06805500	2013-02-13	6860	A
USGS	06805500	2013-02-14	7670	A
USGS	06805500	2013-02-15	6830	A
USGS	06805500	2013-02-16	6040	A
USGS	06805500	2013-02-17	5020	A
USGS	06805500	2013-02-18	5310	A
USGS	06805500	2013-02-19	6310	A
USGS	06805500	2013-02-20	5400	A:e
USGS	06805500	2013-02-21	2730	A:e
USGS	06805500	2013-02-22	990	A:e
USGS	06805500	2013-02-23	1590	A:e
USGS	06805500	2013-02-24	2850	A:e
USGS	06805500	2013-02-25	3260	A:e
USGS	06805500	2013-02-26	3130	A:e
USGS	06805500	2013-02-27	4590	A:e
USGS	06805500	2013-02-28	5950	A:e
USGS	06805500	2013-03-01	7760	A
USGS	06805500	2013-03-02	7320	A
USGS	06805500	2013-03-03	6570	A
USGS	06805500	2013-03-04	7100	A
USGS	06805500	2013-03-05	6910	A
USGS	06805500	2013-03-06	6410	A
USGS	06805500	2013-03-07	5990	A
USGS	06805500	2013-03-08	6370	A
USGS	06805500	2013-03-09	6520	A
USGS	06805500	2013-03-10	6530	A
USGS	06805500	2013-03-11	7230	A
USGS	06805500	2013-03-12	6270	A
USGS	06805500	2013-03-13	7280	A
USGS	06805500	2013-03-14	6420	A
USGS	06805500	2013-03-15	6080	A
USGS	06805500	2013-03-16	6190	A
USGS	06805500	2013-03-17	6350	A
USGS	06805500	2013-03-18	6470	A
USGS	06805500	2013-03-19	6250	A
USGS	06805500	2013-03-20	6450	A
USGS	06805500	2013-03-21	6450	A
USGS	06805500	2013-03-22	6270	A
USGS	06805500	2013-03-23	5890	A
USGS	06805500	2013-03-24	5650	A
USGS	06805500	2013-03-25	5620	A
USGS	06805500	2013-03-26	5240	A
USGS	06805500	2013-03-27	5130	A
USGS	06805500	2013-03-28	5220	A
USGS	06805500	2013-03-29	5620	A
USGS	06805500	2013-03-30	5560	A
USGS	06805500	2013-03-31	6320	A
USGS	06805500	2013-04-01	6210	A
USGS	06805500	2013-04-02	6000	A
USGS	06805500	2013-04-03	5240	A
USGS	06805500	2013-04-04	5290	A
USGS	06805500	2013-04-05	4860	A
USGS	06805500	2013-04-06	4530	A
USGS	06805500	2013-04-07	5240	A
USGS	06805500	2013-04-08	5650	A
USGS	06805500	2013-04-09	6280	A
USGS	06805500	2013-04-10	7530	A
USGS	06805500	2013-04-11	12400	A
USGS	06805500	2013-04-12	10300	A
USGS	06805500	2013-04-13	9290	A
USGS	06805500	2013-04-14	8140	A
USGS	06805500	2013-04-15	7490	A
USGS	06805500	2013-04-16	7410	A
USGS	06805500	2013-04-17	8660	A
USGS	06805500	2013-04-18	10100	A
USGS	06805500	2013-04-19	9360	A
USGS	06805500	2013-04-20	8360	A
USGS	06805500	2013-04-21	7640	A
USGS	06805500	2013-04-22	8190	A
USGS	06805500	2013-04-23	9440	A
USGS	06805500	2013-04-24	8170	A
USGS	06805500	2013-04-25	8400	A
USGS	06805500	2013-04-26	8210	A
USGS	06805500	2013-04-27	7220	A
USGS	06805500	2013-04-28	6950	A
USGS	06805500	2013-04-29	7050	A
USGS	06805500	2013-04-30	6650	A
USGS	06805500	2013-05-01	5290	A
USGS	06805500	2013-05-02	6420	A
USGS	06805500	2013-05-03	7870	A
USGS	06805500	2013-05-04	8520	A
USGS	06805500	2013-05-05	8270	A
USGS	06805500	2013-05-06	7230	A
USGS	06805500	2013-05-07	6640	A
USGS	06805500	2013-05-08	6620	A
USGS	06805500	2013-05-09	5890	A
