# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ne/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-03-12 10:58:45 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06775500 Middle Loup River at Dunning, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06775500
#    DD parameter statistic   Description
#    08   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	08_00060_00003	08_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06775500	2011-01-01	490	A:e
USGS	06775500	2011-01-02	470	A:e
USGS	06775500	2011-01-03	486	A:e
USGS	06775500	2011-01-04	503	A:e
USGS	06775500	2011-01-05	509	A:e
USGS	06775500	2011-01-06	536	A:e
USGS	06775500	2011-01-07	490	A:e
USGS	06775500	2011-01-08	477	A:e
USGS	06775500	2011-01-09	456	A:e
USGS	06775500	2011-01-10	437	A:e
USGS	06775500	2011-01-11	424	A:e
USGS	06775500	2011-01-12	419	A:e
USGS	06775500	2011-01-13	445	A:e
USGS	06775500	2011-01-14	477	A:e
USGS	06775500	2011-01-15	496	A:e
USGS	06775500	2011-01-16	502	A:e
USGS	06775500	2011-01-17	522	A:e
USGS	06775500	2011-01-18	518	A:e
USGS	06775500	2011-01-19	458	A:e
USGS	06775500	2011-01-20	451	A:e
USGS	06775500	2011-01-21	480	A:e
USGS	06775500	2011-01-22	518	A:e
USGS	06775500	2011-01-23	544	A:e
USGS	06775500	2011-01-24	570	A:e
USGS	06775500	2011-01-25	583	A:e
USGS	06775500	2011-01-26	599	A
USGS	06775500	2011-01-27	556	A
USGS	06775500	2011-01-28	585	A
USGS	06775500	2011-01-29	577	A
USGS	06775500	2011-01-30	550	A
USGS	06775500	2011-01-31	555	A
USGS	06775500	2011-02-01	513	A:e
USGS	06775500	2011-02-02	524	A:e
USGS	06775500	2011-02-03	546	A:e
USGS	06775500	2011-02-04	572	A:e
USGS	06775500	2011-02-05	591	A:e
USGS	06775500	2011-02-06	598	A:e
USGS	06775500	2011-02-07	566	A:e
USGS	06775500	2011-02-08	521	A:e
USGS	06775500	2011-02-09	527	A:e
USGS	06775500	2011-02-10	559	A:e
USGS	06775500	2011-02-11	566	A:e
USGS	06775500	2011-02-12	585	A:e
USGS	06775500	2011-02-13	578	A:e
USGS	06775500	2011-02-14	564	A
USGS	06775500	2011-02-15	550	A
USGS	06775500	2011-02-16	543	A
USGS	06775500	2011-02-17	557	A
USGS	06775500	2011-02-18	545	A
USGS	06775500	2011-02-19	561	A
USGS	06775500	2011-02-20	604	A
USGS	06775500	2011-02-21	486	A
USGS	06775500	2011-02-22	438	A
USGS	06775500	2011-02-23	464	A
USGS	06775500	2011-02-24	488	A
USGS	06775500	2011-02-25	463	A
USGS	06775500	2011-02-26	461	A
USGS	06775500	2011-02-27	467	A
USGS	06775500	2011-02-28	448	A
USGS	06775500	2011-03-01	478	A
USGS	06775500	2011-03-02	495	A
USGS	06775500	2011-03-03	482	A
USGS	06775500	2011-03-04	497	A
USGS	06775500	2011-03-05	464	A
USGS	06775500	2011-03-06	475	A
USGS	06775500	2011-03-07	495	A
USGS	06775500	2011-03-08	488	A
USGS	06775500	2011-03-09	442	A
USGS	06775500	2011-03-10	414	A
USGS	06775500	2011-03-11	478	A
USGS	06775500	2011-03-12	532	A
USGS	06775500	2011-03-13	567	A
USGS	06775500	2011-03-14	543	A
USGS	06775500	2011-03-15	560	A
USGS	06775500	2011-03-16	556	A
USGS	06775500	2011-03-17	559	A
USGS	06775500	2011-03-18	538	A
USGS	06775500	2011-03-19	528	A
USGS	06775500	2011-03-20	510	A
USGS	06775500	2011-03-21	530	A
USGS	06775500	2011-03-22	539	A
USGS	06775500	2011-03-23	537	A
USGS	06775500	2011-03-24	493	A
USGS	06775500	2011-03-25	479	A
USGS	06775500	2011-03-26	482	A
USGS	06775500	2011-03-27	483	A
USGS	06775500	2011-03-28	486	A
USGS	06775500	2011-03-29	490	A
USGS	06775500	2011-03-30	496	A
USGS	06775500	2011-03-31	510	A
USGS	06775500	2011-04-01	528	A
USGS	06775500	2011-04-02	527	A
USGS	06775500	2011-04-03	552	A
USGS	06775500	2011-04-04	515	A
USGS	06775500	2011-04-05	511	A
USGS	06775500	2011-04-06	498	A
USGS	06775500	2011-04-07	494	A
USGS	06775500	2011-04-08	510	A
USGS	06775500	2011-04-09	515	A
USGS	06775500	2011-04-10	525	A
USGS	06775500	2011-04-11	501	A
USGS	06775500	2011-04-12	491	A
USGS	06775500	2011-04-13	511	A
USGS	06775500	2011-04-14	526	A
USGS	06775500	2011-04-15	536	A
USGS	06775500	2011-04-16	486	A
USGS	06775500	2011-04-17	520	A
USGS	06775500	2011-04-18	548	A
USGS	06775500	2011-04-19	544	A
USGS	06775500	2011-04-20	571	A
USGS	06775500	2011-04-21	641	A
USGS	06775500	2011-04-22	624	A
USGS	06775500	2011-04-23	604	A
USGS	06775500	2011-04-24	599	A
USGS	06775500	2011-04-25	575	A
USGS	06775500	2011-04-26	565	A
USGS	06775500	2011-04-27	553	A
USGS	06775500	2011-04-28	533	A
USGS	06775500	2011-04-29	538	A
USGS	06775500	2011-04-30	522	A
USGS	06775500	2011-05-01	489	A
USGS	06775500	2011-05-02	486	A
USGS	06775500	2011-05-03	484	A
USGS	06775500	2011-05-04	480	A
USGS	06775500	2011-05-05	476	A
USGS	06775500	2011-05-06	474	A
USGS	06775500	2011-05-07	481	A
USGS	06775500	2011-05-08	493	A
USGS	06775500	2011-05-09	501	A
USGS	06775500	2011-05-10	494	A
USGS	06775500	2011-05-11	505	A
