# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ne/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-03-11 19:19:27 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06770200 Platte River near Kearney, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06770200
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06770200	2013-01-01	828	A:e
USGS	06770200	2013-01-02	761	A:e
USGS	06770200	2013-01-03	849	A:e
USGS	06770200	2013-01-04	693	A:e
USGS	06770200	2013-01-05	741	A:e
USGS	06770200	2013-01-06	910	A:e
USGS	06770200	2013-01-07	1010	A:e
USGS	06770200	2013-01-08	1170	A:e
USGS	06770200	2013-01-09	1240	A:e
USGS	06770200	2013-01-10	537	A:e
USGS	06770200	2013-01-11	819	A:e
USGS	06770200	2013-01-12	829	A:e
USGS	06770200	2013-01-13	788	A:e
USGS	06770200	2013-01-14	890	A:e
USGS	06770200	2013-01-15	951	A:e
USGS	06770200	2013-01-16	671	A:e
USGS	06770200	2013-01-17	890	A:e
USGS	06770200	2013-01-18	1110	A:e
USGS	06770200	2013-01-19	1380	A:e
USGS	06770200	2013-01-20	1200	A:e
USGS	06770200	2013-01-21	1290	A:e
USGS	06770200	2013-01-22	1120	A:e
USGS	06770200	2013-01-23	1180	A:e
USGS	06770200	2013-01-24	1260	A:e
USGS	06770200	2013-01-25	1170	A:e
USGS	06770200	2013-01-26	1230	A:e
USGS	06770200	2013-01-27	1300	A:e
USGS	06770200	2013-01-28	858	A:e
USGS	06770200	2013-01-29	1000	A:e
USGS	06770200	2013-01-30	1170	A:e
USGS	06770200	2013-01-31	1380	A:e
USGS	06770200	2013-02-01	1100	A:e
USGS	06770200	2013-02-02	1050	A:e
USGS	06770200	2013-02-03	1120	A:e
USGS	06770200	2013-02-04	953	A:e
USGS	06770200	2013-02-05	882	A
USGS	06770200	2013-02-06	1060	A
USGS	06770200	2013-02-07	1140	A
USGS	06770200	2013-02-08	914	A
USGS	06770200	2013-02-09	1090	A
USGS	06770200	2013-02-10	1150	A
USGS	06770200	2013-02-11	1110	A:e
USGS	06770200	2013-02-12	1120	A
USGS	06770200	2013-02-13	1110	A
USGS	06770200	2013-02-14	1140	A
USGS	06770200	2013-02-15	1090	A
USGS	06770200	2013-02-16	960	A
USGS	06770200	2013-02-17	1140	A
USGS	06770200	2013-02-18	797	A
USGS	06770200	2013-02-19	921	A
USGS	06770200	2013-02-20	875	A:e
USGS	06770200	2013-02-21	770	A:e
USGS	06770200	2013-02-22	834	A:e
USGS	06770200	2013-02-23	634	A:e
USGS	06770200	2013-02-24	763	A:e
USGS	06770200	2013-02-25	962	A:e
USGS	06770200	2013-02-26	1220	A:e
USGS	06770200	2013-02-27	1430	A:e
USGS	06770200	2013-02-28	1180	A
USGS	06770200	2013-03-01	1310	A
USGS	06770200	2013-03-02	1150	A
USGS	06770200	2013-03-03	1160	A
USGS	06770200	2013-03-04	1230	A
USGS	06770200	2013-03-05	1120	A
USGS	06770200	2013-03-06	1210	A
