# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ne/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-03-11 19:19:26 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06768000 Platte River near Overton, Nebr.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06768000
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06768000	2013-01-01	Ice	P
USGS	06768000	2013-01-02	Ice	P
USGS	06768000	2013-01-03	804	P
USGS	06768000	2013-01-04	797	P
USGS	06768000	2013-01-05	1040	P
USGS	06768000	2013-01-06	974	P
USGS	06768000	2013-01-07	952	P
USGS	06768000	2013-01-08	966	P
USGS	06768000	2013-01-09	286	P
USGS	06768000	2013-01-10	851	P
USGS	06768000	2013-01-11	881	P
USGS	06768000	2013-01-12	978	P
USGS	06768000	2013-01-13	1020	P
USGS	06768000	2013-01-14	1010	P
USGS	06768000	2013-01-15	491	P
USGS	06768000	2013-01-16	733	P
USGS	06768000	2013-01-17	791	P
USGS	06768000	2013-01-18	878	P
USGS	06768000	2013-01-19	1130	P
USGS	06768000	2013-01-20	1320	P
USGS	06768000	2013-01-21	1030	P
USGS	06768000	2013-01-22	1150	P
USGS	06768000	2013-01-23	1270	P
USGS	06768000	2013-01-24	1170	P
USGS	06768000	2013-01-25	1220	P
USGS	06768000	2013-01-26	1280	P
USGS	06768000	2013-01-27	689	P
USGS	06768000	2013-01-28	1090	P
USGS	06768000	2013-01-29	1080	P
USGS	06768000	2013-01-30	1400	P
USGS	06768000	2013-01-31	1100	P
USGS	06768000	2013-02-01	1040	P
USGS	06768000	2013-02-02	1170	P
USGS	06768000	2013-02-03	670	P
USGS	06768000	2013-02-04	905	P
USGS	06768000	2013-02-05	1240	P
USGS	06768000	2013-02-06	1350	P
USGS	06768000	2013-02-07	1030	P
USGS	06768000	2013-02-08	1290	P
