# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ne/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-03-12 10:58:43 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06674500 NORTH PLATTE RIVER AT WYOMING-NEBRASKA STATE LINE
# -----------------------------------------------------------------------------------
#
# Data provided for site 06674500
#    DD parameter statistic   Description
#    05   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	05_00060_00003	05_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06674500	2011-01-01	170	A:e
USGS	06674500	2011-01-02	235	A:e
USGS	06674500	2011-01-03	275	A:e
USGS	06674500	2011-01-04	280	A:e
USGS	06674500	2011-01-05	270	A:e
USGS	06674500	2011-01-06	270	A:e
USGS	06674500	2011-01-07	260	A:e
USGS	06674500	2011-01-08	251	A
USGS	06674500	2011-01-09	245	A
USGS	06674500	2011-01-10	242	A
USGS	06674500	2011-01-11	225	A:e
USGS	06674500	2011-01-12	225	A:e
USGS	06674500	2011-01-13	235	A:e
USGS	06674500	2011-01-14	241	A
USGS	06674500	2011-01-15	243	A
USGS	06674500	2011-01-16	246	A
USGS	06674500	2011-01-17	253	A
USGS	06674500	2011-01-18	255	A
USGS	06674500	2011-01-19	256	A
USGS	06674500	2011-01-20	258	A
USGS	06674500	2011-01-21	267	A
USGS	06674500	2011-01-22	278	A
USGS	06674500	2011-01-23	281	A
USGS	06674500	2011-01-24	279	A
USGS	06674500	2011-01-25	278	A
USGS	06674500	2011-01-26	276	A
USGS	06674500	2011-01-27	278	A
USGS	06674500	2011-01-28	281	A
USGS	06674500	2011-01-29	284	A
USGS	06674500	2011-01-30	286	A
USGS	06674500	2011-01-31	286	A
USGS	06674500	2011-02-01	169	A
USGS	06674500	2011-02-02	210	A:e
USGS	06674500	2011-02-03	280	A:e
USGS	06674500	2011-02-04	310	A:e
USGS	06674500	2011-02-05	325	A:e
USGS	06674500	2011-02-06	315	A:e
USGS	06674500	2011-02-07	280	A:e
USGS	06674500	2011-02-08	235	A:e
USGS	06674500	2011-02-09	245	A:e
USGS	06674500	2011-02-10	315	A:e
USGS	06674500	2011-02-11	310	A:e
USGS	06674500	2011-02-12	300	A:e
USGS	06674500	2011-02-13	298	A
USGS	06674500	2011-02-14	294	A
USGS	06674500	2011-02-15	293	A
USGS	06674500	2011-02-16	288	A
USGS	06674500	2011-02-17	291	A
USGS	06674500	2011-02-18	292	A
USGS	06674500	2011-02-19	294	A
USGS	06674500	2011-02-20	306	A
